date,HMF,wind_speed,HCS_tilt,polarity,SSN,daily_OSF
1985-01-01,6.2,701.0,11.35,-1.0,0,9.521233879610108
1985-01-02,5.7,650.0,11.25,-1.0,0,6.252387229242207
1985-01-03,5.5,551.0,11.15,-1.0,0,9.332165242929458
1985-01-04,5.3,452.0,11.06,-1.0,0,12.41194325661671
1985-01-05,6.9,421.0,10.96,-1.0,0,15.96311668769888
1985-01-06,6.9,459.5,10.87,-1.0,0,14.579222668440122
1985-01-07,6.9,498.0,10.77,-1.0,0,13.195328649181365
1985-01-08,6.9,536.5,10.68,-1.0,12,11.811434629922607
1985-01-09,6.9,575.0,10.58,-1.0,15,10.427540610663849
1985-01-10,6.9,613.5,10.49,-1.0,0,9.043646591405091
1985-01-11,6.9,652.0,10.4,-1.0,0,7.659752572146334
1985-01-12,5.6,619.0,10.34,-1.0,14,8.137427960702473
1985-01-13,5.5,566.0,10.29,-1.0,17,10.431350278837444
1985-01-14,6.85,506.0,10.24,-1.0,28,13.389136640070305
1985-01-15,8.2,446.0,10.19,-1.0,27,16.346923001303164
1985-01-16,4.7,482.0,10.14,-1.0,28,12.642711461437974
1985-01-17,5.6,411.0,10.09,-1.0,31,8.938499921572785
1985-01-18,4.1,369.0,10.04,-1.0,28,5.373264414553333
1985-01-19,4.0,342.0,9.99,-1.0,29,7.083467645182258
1985-01-20,5.3,404.25,9.93,-1.0,59,9.097001295371179
1985-01-21,6.6,466.5,9.88,-1.0,64,11.1105349455601
1985-01-22,7.9,528.75,9.83,-1.0,54,13.124068595749021
1985-01-23,9.2,591.0,9.78,-1.0,42,15.137602245937943
1985-01-24,6.0,466.0,9.73,-1.0,36,21.420746751907338
1985-01-25,12.1,476.0,9.68,-1.0,22,27.70389125787673
1985-01-26,9.3,406.0,9.63,-1.0,10,18.43478356448036
1985-01-27,7.7,398.0,9.57,-1.0,9,9.820709041182289
1985-01-28,7.8,480.0,9.52,-1.0,0,9.782184603538928
1985-01-29,6.5,480.0,9.47,-1.0,10,9.743660165895568
1985-01-30,5.2,468.0,9.42,-1.0,0,10.200090201125086
1985-01-31,5.1,416.0,9.37,-1.0,18,10.656520236354602
1985-02-01,6.319999999999999,434.4,9.32,-1.0,23,11.924616072314285
1985-02-02,7.539999999999999,452.8,9.27,-1.0,29,13.192711908273967
1985-02-03,8.76,471.2,9.21,-1.0,33,14.460807744233648
1985-02-04,9.98,489.6,9.16,-1.0,29,15.72890358019333
