date,HMF,wind_speed,SSN,polarity,HCS_tilt,daily_OSF
1985-01-01,6.2,701.0,0.0,-1.0,11.35,
1985-01-02,5.7,650.0,0.0,-1.0,11.25,
1985-01-03,5.5,551.0,0.0,-1.0,11.15,
1985-01-04,5.3,452.0,0.0,-1.0,11.06,
1985-01-05,6.9,421.0,0.0,-1.0,10.96,
1985-01-06,6.9,459.5,0.0,-1.0,10.87,
1985-01-07,6.9,498.0,0.0,-1.0,10.77,
1985-01-08,6.9,536.5,12.0,-1.0,10.68,
1985-01-09,6.9,575.0,15.0,-1.0,10.58,
1985-01-10,6.9,613.5,0.0,-1.0,10.49,
1985-01-11,6.9,652.0,0.0,-1.0,10.4,
1985-01-12,5.6,619.0,14.0,-1.0,10.34,
1985-01-13,5.5,566.0,17.0,-1.0,10.29,
1985-01-14,6.85,506.0,28.0,-1.0,10.24,
1985-01-15,8.2,446.0,27.0,-1.0,10.19,
1985-01-16,4.7,482.0,28.0,-1.0,10.14,
1985-01-17,5.6,411.0,31.0,-1.0,10.09,
1985-01-18,4.1,369.0,28.0,-1.0,10.04,
1985-01-19,4.0,342.0,29.0,-1.0,9.99,
1985-01-20,5.3,404.25,59.0,-1.0,9.93,
1985-01-21,6.6,466.5,64.0,-1.0,9.88,
1985-01-22,7.899999999999999,528.75,54.0,-1.0,9.83,
1985-01-23,9.2,591.0,42.0,-1.0,9.78,
1985-01-24,6.0,466.0,36.0,-1.0,9.73,
1985-01-25,12.1,476.0,22.0,-1.0,9.68,
1985-01-26,9.3,406.0,10.0,-1.0,9.63,
1985-01-27,7.7,398.0,9.0,-1.0,9.57,
1985-01-28,7.8,480.0,0.0,-1.0,9.52,
1985-01-29,6.5,480.0,10.0,-1.0,9.47,
1985-01-30,5.2,468.0,0.0,-1.0,9.42,
1985-01-31,5.1,416.0,18.0,-1.0,9.37,
1985-02-01,6.319999999999999,434.4,23.0,-1.0,9.32,
1985-02-02,7.539999999999999,452.8,29.0,-1.0,9.27,
1985-02-03,8.76,471.2,33.0,-1.0,9.21,
1985-02-04,9.98,489.6,29.0,-1.0,9.16,
1985-02-05,11.2,508.0,26.0,-1.0,9.11,
1985-02-06,8.6,585.0,21.0,-1.0,9.06,
1985-02-07,6.0,662.0,9.0,-1.0,9.01,
1985-02-08,6.1,632.0,21.0,-1.0,8.92,
1985-02-09,6.6,588.0,31.0,-1.0,8.82,
1985-02-10,6.1,652.0,25.0,-1.0,8.72,
1985-02-11,5.2,621.0,17.0,-1.0,8.62,
1985-02-12,5.9,555.0,13.0,-1.0,8.52,
1985-02-13,5.1,484.0,14.0,-1.0,8.42,
1985-02-14,5.4,474.0,17.0,-1.0,8.33,
1985-02-15,5.699999999999999,464.0,14.0,-1.0,8.23,
1985-02-16,6.0,454.0,13.0,-1.0,8.13,
1985-02-17,6.3,444.0,16.0,-1.0,8.03,
1985-02-18,5.1,434.0,13.0,-1.0,7.93,
1985-02-19,10.0,392.0,25.0,-1.0,7.83,
1985-02-20,6.1,329.0,35.0,-1.0,7.73,
1985-02-21,8.2,375.0,35.0,-1.0,7.63,
1985-02-22,4.0,362.0,33.0,-1.0,7.53,
1985-02-23,5.6,349.0,21.0,-1.0,7.43,
1985-02-24,5.2,409.0,14.0,-1.0,7.34,
1985-02-25,5.2,423.0,14.0,-1.0,7.24,
1985-02-26,4.5,379.0,14.0,-1.0,7.14,
1985-02-27,5.1,433.25,13.0,-1.0,7.04,
1985-02-28,5.7,487.5,12.0,-1.0,6.94,
1985-03-01,6.300000000000001,541.75,13.0,-1.0,6.84,
1985-03-02,6.9,596.0,13.0,-1.0,6.74,
1985-03-03,4.2,597.0,9.0,-1.0,6.64,
1985-03-04,5.8,460.0,0.0,-1.0,6.54,
1985-03-05,8.4,654.0,0.0,-1.0,6.44,
1985-03-06,6.2,696.0,0.0,-1.0,6.35,
1985-03-07,5.5,753.0,0.0,-1.0,6.3,
1985-03-08,4.4,678.0,14.0,-1.0,6.31,
1985-03-09,3.4,490.0,15.0,-1.0,6.31,
1985-03-10,10.2,466.0,13.0,-1.0,6.31,
1985-03-11,8.85,442.25,16.0,-1.0,6.32,
1985-03-12,7.5,418.5,18.0,-1.0,6.32,
1985-03-13,6.15,394.75,14.0,-1.0,6.32,
1985-03-14,4.8,371.0,10.0,-1.0,6.33,
1985-03-15,7.1,462.0,0.0,-1.0,6.33,
1985-03-16,5.6,451.0,11.0,-1.0,6.33,
1985-03-17,3.9,403.0,20.0,-1.0,6.34,
1985-03-18,5.4,392.0,34.0,-1.0,6.34,
1985-03-19,4.3,374.0,26.0,-1.0,6.35,
1985-03-20,4.4,362.0,19.0,-1.0,6.35,
1985-03-21,3.5,330.0,9.0,-1.0,6.35,
1985-03-22,3.9,332.0,15.0,-1.0,6.36,
1985-03-23,4.2,320.0,22.0,-1.0,6.36,
1985-03-24,5.325,321.0,35.0,-1.0,6.36,
1985-03-25,6.449999999999999,322.0,29.0,-1.0,6.37,
1985-03-26,7.574999999999999,323.0,32.0,-1.0,6.37,
1985-03-27,8.7,324.0,26.0,-1.0,6.38,
