date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1,electron_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2011-5-20,1.00,1.71,2.383E+1,0.082E+1,0.048E+1,0.069E+1,
2011-5-20,1.71,2.97,1.065E+1,0.024E+1,0.016E+1,0.023E+1,
2011-5-20,2.97,4.02,4.729E+0,0.126E+0,0.047E+0,0.078E+0,
2011-5-20,4.02,5.90,1.977E+0,0.050E+0,0.020E+0,0.029E+0,
2011-5-20,5.90,7.09,9.085E-1,0.356E-1,0.091E-1,0.135E-1,
2011-5-20,7.09,8.48,4.848E-1,0.219E-1,0.048E-1,0.072E-1,
2011-5-20,8.48,11.00,2.431E-1,0.107E-1,0.024E-1,0.036E-1,
2011-5-20,11.00,16.60,8.136E-2,0.374E-2,0.081E-2,0.121E-2,
2011-5-20,16.60,22.80,2.494E-2,0.172E-2,0.025E-2,0.037E-2,
2011-5-20,22.80,41.90,5.776E-3,0.420E-3,0.058E-3,0.086E-3,
2011-5-21,1.00,1.71,2.651E+1,0.076E+1,0.053E+1,0.077E+1,
2011-5-21,1.71,2.97,1.214E+1,0.012E+1,0.018E+1,0.026E+1,
2011-5-21,2.97,4.02,5.218E+0,0.067E+0,0.052E+0,0.086E+0,
2011-5-21,4.02,5.90,2.144E+0,0.025E+0,0.021E+0,0.032E+0,
2011-5-21,5.90,7.09,9.646E-1,0.180E-1,0.096E-1,0.143E-1,
2011-5-21,7.09,8.48,5.576E-1,0.119E-1,0.056E-1,0.083E-1,
2011-5-21,8.48,11.00,2.673E-1,0.059E-1,0.027E-1,0.040E-1,
2011-5-21,11.00,16.60,9.194E-2,0.219E-2,0.092E-2,0.137E-2,
2011-5-21,16.60,22.80,2.762E-2,0.100E-2,0.028E-2,0.041E-2,
2011-5-21,22.80,41.90,5.968E-3,0.217E-3,0.060E-3,0.089E-3,
2011-5-22,1.00,1.71,2.565E+1,0.121E+1,0.051E+1,0.074E+1,
2011-5-22,1.71,2.97,1.196E+1,0.014E+1,0.018E+1,0.025E+1,
2011-5-22,2.97,4.02,5.167E+0,0.078E+0,0.052E+0,0.085E+0,
2011-5-22,4.02,5.90,2.160E+0,0.028E+0,0.022E+0,0.032E+0,
2011-5-22,5.90,7.09,9.373E-1,0.184E-1,0.094E-1,0.139E-1,
2011-5-22,7.09,8.48,5.488E-1,0.119E-1,0.055E-1,0.082E-1,
2011-5-22,8.48,11.00,2.666E-1,0.059E-1,0.027E-1,0.040E-1,
2011-5-22,11.00,16.60,9.731E-2,0.223E-2,0.097E-2,0.145E-2,
2011-5-22,16.60,22.80,2.786E-2,0.098E-2,0.028E-2,0.041E-2,
2011-5-22,22.80,41.90,6.113E-3,0.211E-3,0.061E-3,0.091E-3,
