bartels_rotation_number,rigidity_min GV,rigidity_max GV,proton_flux m^-2sr^-1s^-1GV^-1,proton_flux_error_statistical m^-2sr^-1s^-1GV^-1,proton_flux_error_timedependent m^-2sr^-1s^-1GV^-1,proton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2426,1.00,1.92,8.443E+2,0.005E+2,0.018E+2,0.162E+2
2426,1.92,2.97,4.820E+2,0.003E+2,0.008E+2,0.058E+2
2426,2.97,4.02,2.628E+2,0.002E+2,0.005E+2,0.028E+2
2426,4.02,4.88,1.622E+2,0.001E+2,0.004E+2,0.017E+2
2426,4.88,5.90,1.078E+2,0.001E+2,0.003E+2,0.011E+2
2426,5.90,7.09,7.061E+1,0.005E+1,0.017E+1,0.075E+1
2426,7.09,8.48,4.602E+1,0.003E+1,0.011E+1,0.049E+1
2426,8.48,11.00,2.686E+1,0.002E+1,0.005E+1,0.029E+1
2426,11.00,16.60,1.139E+1,0.001E+1,0.002E+1,0.013E+1
2426,16.60,22.80,4.306E+0,0.004E+0,0.007E+0,0.050E+0
2426,22.80,41.90,1.240E+0,0.001E+0,0.002E+0,0.015E+0
2427,1.00,1.92,7.758E+2,0.003E+2,0.025E+2,0.150E+2
2427,1.92,2.97,4.538E+2,0.002E+2,0.013E+2,0.056E+2
2427,2.97,4.02,2.501E+2,0.001E+2,0.008E+2,0.028E+2
2427,4.02,4.88,1.557E+2,0.001E+2,0.006E+2,0.017E+2
2427,4.88,5.90,1.041E+2,0.001E+2,0.004E+2,0.011E+2
2427,5.90,7.09,6.859E+1,0.004E+1,0.025E+1,0.075E+1
2427,7.09,8.48,4.490E+1,0.003E+1,0.016E+1,0.050E+1
2427,8.48,11.00,2.632E+1,0.001E+1,0.008E+1,0.029E+1
2427,11.00,16.60,1.125E+1,0.001E+1,0.003E+1,0.013E+1
2427,16.60,22.80,4.263E+0,0.003E+0,0.011E+0,0.050E+0
2427,22.80,41.90,1.234E+0,0.001E+0,0.002E+0,0.015E+0
2428,1.00,1.92,7.943E+2,0.003E+2,0.030E+2,0.154E+2
2428,1.92,2.97,4.695E+2,0.002E+2,0.013E+2,0.058E+2
2428,2.97,4.02,2.594E+2,0.001E+2,0.007E+2,0.028E+2
2428,4.02,4.88,1.617E+2,0.001E+2,0.005E+2,0.017E+2
2428,4.88,5.90,1.078E+2,0.001E+2,0.003E+2,0.012E+2
2428,5.90,7.09,7.093E+1,0.004E+1,0.021E+1,0.076E+1
2428,7.09,8.48,4.629E+1,0.003E+1,0.014E+1,0.050E+1
2428,8.48,11.00,2.704E+1,0.001E+1,0.007E+1,0.029E+1
2428,11.00,16.60,1.148E+1,0.001E+1,0.002E+1,0.013E+1
2428,16.60,22.80,4.332E+0,0.003E+0,0.009E+0,0.050E+0
2428,22.80,41.90,1.250E+0,0.001E+0,0.002E+0,0.015E+0
2429,1.00,1.92,7.930E+2,0.003E+2,0.033E+2,0.154E+2
2429,1.92,2.97,4.691E+2,0.002E+2,0.016E+2,0.058E+2
2429,2.97,4.02,2.600E+2,0.001E+2,0.009E+2,0.029E+2
2429,4.02,4.88,1.618E+2,0.001E+2,0.007E+2,0.018E+2
2429,4.88,5.90,1.081E+2,0.001E+2,0.004E+2,0.012E+2
2429,5.90,7.09,7.112E+1,0.004E+1,0.029E+1,0.079E+1
2429,7.09,8.48,4.647E+1,0.002E+1,0.019E+1,0.052E+1
2429,8.48,11.00,2.715E+1,0.001E+1,0.009E+1,0.030E+1
2429,11.00,16.60,1.152E+1,0.001E+1,0.003E+1,0.013E+1
2429,16.60,22.80,4.364E+0,0.002E+0,0.013E+0,0.051E+0
2429,22.80,41.90,1.257E+0,0.001E+0,0.003E+0,0.015E+0
2430,1.00,1.92,8.050E+2,0.003E+2,0.031E+2,0.156E+2
2430,1.92,2.97,4.740E+2,0.002E+2,0.014E+2,0.058E+2
2430,2.97,4.02,2.617E+2,0.001E+2,0.007E+2,0.029E+2
2430,4.02,4.88,1.629E+2,0.001E+2,0.005E+2,0.018E+2
2430,4.88,5.90,1.088E+2,0.001E+2,0.004E+2,0.012E+2
2430,5.90,7.09,7.147E+1,0.003E+1,0.023E+1,0.078E+1
2430,7.09,8.48,4.658E+1,0.002E+1,0.015E+1,0.051E+1
2430,8.48,11.00,2.722E+1,0.001E+1,0.007E+1,0.030E+1
2430,11.00,16.60,1.158E+1,0.001E+1,0.002E+1,0.013E+1
2430,16.60,22.80,4.373E+0,0.002E+0,0.010E+0,0.051E+0
2430,22.80,41.90,1.257E+0,0.001E+0,0.002E+0,0.015E+0
2431,1.00,1.92,7.237E+2,0.003E+2,0.026E+2,0.139E+2
2431,1.92,2.97,4.410E+2,0.002E+2,0.011E+2,0.054E+2
2431,2.97,4.02,2.484E+2,0.001E+2,0.006E+2,0.027E+2
2431,4.02,4.88,1.560E+2,0.001E+2,0.004E+2,0.017E+2
2431,4.88,5.90,1.048E+2,0.000E+2,0.003E+2,0.011E+2
2431,5.90,7.09,6.928E+1,0.003E+1,0.018E+1,0.074E+1
2431,7.09,8.48,4.543E+1,0.002E+1,0.012E+1,0.049E+1
2431,8.48,11.00,2.668E+1,0.001E+1,0.006E+1,0.029E+1
2431,11.00,16.60,1.139E+1,0.001E+1,0.002E+1,0.013E+1
2431,16.60,22.80,4.325E+0,0.002E+0,0.008E+0,0.050E+0
2431,22.80,41.90,1.252E+0,0.001E+0,0.002E+0,0.015E+0
2432,1.00,1.92,7.769E+2,0.003E+2,0.029E+2,0.150E+2
2432,1.92,2.97,4.652E+2,0.002E+2,0.013E+2,0.057E+2
2432,2.97,4.02,2.583E+2,0.001E+2,0.007E+2,0.028E+2
2432,4.02,4.88,1.610E+2,0.001E+2,0.005E+2,0.017E+2
2432,4.88,5.90,1.077E+2,0.001E+2,0.003E+2,0.012E+2
2432,5.90,7.09,7.089E+1,0.003E+1,0.022E+1,0.077E+1
2432,7.09,8.48,4.627E+1,0.002E+1,0.014E+1,0.050E+1
2432,8.48,11.00,2.702E+1,0.001E+1,0.007E+1,0.029E+1
2432,11.00,16.60,1.150E+1,0.001E+1,0.002E+1,0.013E+1
2432,16.60,22.80,4.352E+0,0.002E+0,0.009E+0,0.050E+0
2432,22.80,41.90,1.253E+0,0.001E+0,0.002E+0,0.015E+0
2433,1.00,1.92,8.081E+2,0.003E+2,0.027E+2,0.155E+2
2433,1.92,2.97,4.845E+2,0.002E+2,0.011E+2,0.059E+2
2433,2.97,4.02,2.677E+2,0.001E+2,0.005E+2,0.029E+2
2433,4.02,4.88,1.658E+2,0.001E+2,0.004E+2,0.018E+2
2433,4.88,5.90,1.105E+2,0.001E+2,0.002E+2,0.012E+2
2433,5.90,7.09,7.244E+1,0.004E+1,0.016E+1,0.077E+1
2433,7.09,8.48,4.706E+1,0.002E+1,0.010E+1,0.050E+1
2433,8.48,11.00,2.746E+1,0.001E+1,0.005E+1,0.030E+1
2433,11.00,16.60,1.161E+1,0.001E+1,0.002E+1,0.013E+1
2433,16.60,22.80,4.379E+0,0.002E+0,0.006E+0,0.050E+0
2433,22.80,41.90,1.257E+0,0.001E+0,0.001E+0,0.015E+0
2434,1.00,1.92,8.189E+2,0.003E+2,0.027E+2,0.157E+2
2434,1.92,2.97,4.875E+2,0.002E+2,0.011E+2,0.059E+2
2434,2.97,4.02,2.686E+2,0.001E+2,0.005E+2,0.029E+2
2434,4.02,4.88,1.663E+2,0.001E+2,0.003E+2,0.018E+2
2434,4.88,5.90,1.107E+2,0.001E+2,0.002E+2,0.012E+2
2434,5.90,7.09,7.265E+1,0.004E+1,0.014E+1,0.077E+1
2434,7.09,8.48,4.724E+1,0.002E+1,0.009E+1,0.050E+1
2434,8.48,11.00,2.754E+1,0.001E+1,0.004E+1,0.030E+1
2434,11.00,16.60,1.165E+1,0.001E+1,0.001E+1,0.013E+1
2434,16.60,22.80,4.378E+0,0.002E+0,0.006E+0,0.050E+0
2434,22.80,41.90,1.253E+0,0.001E+0,0.001E+0,0.015E+0
2435,1.00,1.92,7.874E+2,0.003E+2,0.026E+2,0.152E+2
2435,1.92,2.97,4.677E+2,0.002E+2,0.010E+2,0.057E+2
2435,2.97,4.02,2.590E+2,0.001E+2,0.005E+2,0.028E+2
2435,4.02,4.88,1.611E+2,0.001E+2,0.003E+2,0.017E+2
2435,4.88,5.90,1.074E+2,0.001E+2,0.002E+2,0.011E+2
2435,5.90,7.09,7.058E+1,0.003E+1,0.013E+1,0.074E+1
2435,7.09,8.48,4.604E+1,0.002E+1,0.009E+1,0.049E+1
2435,8.48,11.00,2.690E+1,0.001E+1,0.004E+1,0.029E+1
2435,11.00,16.60,1.143E+1,0.001E+1,0.001E+1,0.013E+1
2435,16.60,22.80,4.324E+0,0.002E+0,0.005E+0,0.050E+0
2435,22.80,41.90,1.245E+0,0.001E+0,0.001E+0,0.015E+0
2436,1.00,1.92,7.720E+2,0.003E+2,0.026E+2,0.149E+2
2436,1.92,2.97,4.603E+2,0.002E+2,0.010E+2,0.056E+2
2436,2.97,4.02,2.557E+2,0.001E+2,0.005E+2,0.028E+2
2436,4.02,4.88,1.591E+2,0.001E+2,0.003E+2,0.017E+2
2436,4.88,5.90,1.062E+2,0.001E+2,0.002E+2,0.011E+2
2436,5.90,7.09,6.998E+1,0.003E+1,0.014E+1,0.074E+1
2436,7.09,8.48,4.567E+1,0.002E+1,0.009E+1,0.048E+1
2436,8.48,11.00,2.677E+1,0.001E+1,0.004E+1,0.029E+1
