bartels_rotation_number,rigidity_min GV,rigidity_max GV,antiproton_flux m^-2sr^-1s^-1GV^-1,antiproton_flux_error_statistical m^-2sr^-1s^-1GV^-1, antiproton_flux_error_systematic_timedependent m^-2sr^-1s^-1GV^-1,antiproton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2426,1.00,1.92,1.35E-2,0.39E-2,0.06E-2,0.13E-2
2426,1.92,2.97,1.21E-2,0.26E-2,0.06E-2,0.10E-2
2426,2.97,4.02,2.01E-2,0.30E-2,0.04E-2,0.11E-2
2426,4.02,4.88,1.37E-2,0.09E-2,0.02E-2,0.06E-2
2426,4.88,5.90,1.29E-2,0.07E-2,0.01E-2,0.06E-2
2426,5.90,7.09,9.84E-3,0.50E-3,0.27E-3,0.49E-3
2426,7.09,8.48,7.93E-3,0.36E-3,0.26E-3,0.41E-3
2426,8.48,11.00,4.90E-3,0.19E-3,0.09E-3,0.20E-3
2426,11.00,16.60,2.37E-3,0.08E-3,0.04E-3,0.09E-3
2426,16.60,22.80,9.80E-4,0.44E-4,0.33E-4,0.46E-4
2426,22.80,41.90,2.98E-4,0.11E-4,0.08E-4,0.12E-4
2427,1.00,1.92,9.55E-3,1.38E-3,0.47E-3,0.90E-3
2427,1.92,2.97,1.59E-2,0.13E-2,0.07E-2,0.13E-2
2427,2.97,4.02,1.70E-2,0.13E-2,0.03E-2,0.09E-2
2427,4.02,4.88,1.40E-2,0.06E-2,0.01E-2,0.06E-2
2427,4.88,5.90,1.19E-2,0.05E-2,0.01E-2,0.05E-2
2427,5.90,7.09,9.74E-3,0.36E-3,0.15E-3,0.43E-3
2427,7.09,8.48,7.27E-3,0.28E-3,0.08E-3,0.30E-3
2427,8.48,11.00,4.35E-3,0.15E-3,0.06E-3,0.18E-3
2427,11.00,16.60,2.06E-3,0.07E-3,0.04E-3,0.08E-3
2427,16.60,22.80,9.47E-4,0.37E-4,0.25E-4,0.39E-4
2427,22.80,41.90,2.45E-4,0.09E-4,0.03E-4,0.08E-4
2428,1.00,1.92,1.18E-2,0.16E-2,0.06E-2,0.11E-2
2428,1.92,2.97,1.73E-2,0.13E-2,0.07E-2,0.14E-2
2428,2.97,4.02,1.84E-2,0.13E-2,0.03E-2,0.09E-2
2428,4.02,4.88,1.53E-2,0.07E-2,0.02E-2,0.07E-2
2428,4.88,5.90,1.31E-2,0.05E-2,0.01E-2,0.06E-2
2428,5.90,7.09,9.50E-3,0.36E-3,0.17E-3,0.43E-3
2428,7.09,8.48,7.51E-3,0.27E-3,0.27E-3,0.40E-3
2428,8.48,11.00,4.70E-3,0.14E-3,0.10E-3,0.20E-3
2428,11.00,16.60,2.29E-3,0.06E-3,0.04E-3,0.09E-3
2428,16.60,22.80,9.83E-4,0.34E-4,0.29E-4,0.43E-4
2428,22.80,41.90,3.09E-4,0.09E-4,0.07E-4,0.11E-4
2429,1.00,1.92,8.84E-3,1.28E-3,0.42E-3,0.82E-3
2429,1.92,2.97,1.46E-2,0.12E-2,0.06E-2,0.11E-2
2429,2.97,4.02,1.79E-2,0.13E-2,0.03E-2,0.09E-2
2429,4.02,4.88,1.38E-2,0.06E-2,0.01E-2,0.06E-2
2429,4.88,5.90,1.27E-2,0.05E-2,0.01E-2,0.06E-2
2429,5.90,7.09,1.01E-2,0.04E-2,0.01E-2,0.04E-2
