date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,positron_flux m^-2sr^-1s^-1GV^-1,positron_flux_error_statistical m^-2sr^-1s^-1GV^-1,positron_flux_error_timedependent m^-2sr^-1s^-1GV^-1,positron_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2011-05-20,1.00,1.33,8.470E-01,3.148E-01,1.271E-02,2.456385E-02,
2011-05-20,1.33,1.71,1.500E+00,2.569E-01,1.950E-02,4.049321E-02,
2011-05-20,1.71,2.15,1.143E+00,1.691E-01,1.257E-02,2.743546E-02,
2011-05-20,2.15,2.97,5.850E-01,7.560E-02,5.850E-03,1.170010E-02,
2011-05-20,2.97,4.02,2.604E-01,3.681E-02,2.604E-03,3.905670E-03,
2011-05-20,4.02,5.90,1.146E-01,1.583E-02,1.146E-03,1.718349E-03,
2011-05-20,5.90,7.09,4.856E-02,1.114E-02,4.856E-04,7.284498E-04,
2011-05-20,7.09,8.48,2.951E-02,7.616E-03,2.951E-04,4.426014E-04,
2011-05-20,8.48,11.00,1.208E-02,3.411E-03,1.208E-04,1.812062E-04,
2011-05-20,11.00,16.60,4.750E-03,1.375E-03,4.750E-05,7.125027E-05,
2011-05-20,16.60,22.80,1.175E-03,7.051E-04,1.175E-05,1.763170E-05,
2011-05-20,22.80,41.90,1.641E-04,9.325E-05,1.641E-06,2.460988E-06,
2011-05-21,1.00,1.33,2.473E+00,6.276E-01,3.709E-02,7.171192E-02,
2011-05-21,1.33,1.71,1.181E+00,2.155E-01,1.536E-02,3.189508E-02,
2011-05-21,1.71,2.15,9.094E-01,1.579E-01,1.000E-02,2.182612E-02,
2011-05-21,2.15,2.97,5.482E-01,7.037E-02,5.482E-03,1.096348E-02,
2011-05-21,2.97,4.02,2.756E-01,3.597E-02,2.756E-03,4.134026E-03,
2011-05-21,4.02,5.90,1.078E-01,1.320E-02,1.078E-03,1.616283E-03,
2011-05-21,5.90,7.09,5.082E-02,9.881E-03,5.082E-04,7.623233E-04,
2011-05-21,7.09,8.48,2.056E-02,5.657E-03,2.056E-04,3.083427E-04,
2011-05-21,8.48,11.00,1.110E-02,2.932E-03,1.110E-04,1.665230E-04,
2011-05-21,11.00,16.60,4.026E-03,1.073E-03,4.026E-05,6.038763E-05,
2011-05-21,16.60,22.80,1.664E-03,5.406E-04,1.664E-05,2.495926E-05,
2011-05-21,22.80,41.90,3.141E-04,1.432E-04,3.141E-06,4.710849E-06,
2011-05-22,1.00,1.33,1.519E+00,3.928E-01,2.278E-02,4.404535E-02,
2011-05-22,1.33,1.71,1.841E+00,2.473E-01,2.394E-02,4.971306E-02,
2011-05-22,1.71,2.15,1.030E+00,1.436E-01,1.133E-02,2.472975E-02,
