bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,helium_flux m^-2sr^-1s^-1GV^-1,helium_flux_error_statistical m^-2sr^-1s^-1GV^-1,helium_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,helium_flux_error_time_independent m^-2sr^-1s^-1GV^-1,center_date
2426,1.92,2.15,75.17,0.23,0.48,1.13,2011-05-28
2426,2.15,2.4,68.11,0.2,0.4,0.87,2011-05-28
2426,2.4,2.67,61.08,0.17,0.34,0.71,2011-05-28
2426,2.67,2.97,53.93,0.14,0.29,0.6,2011-05-28
2426,2.97,3.29,46.95,0.12,0.25,0.51,2011-05-28
2426,3.29,3.64,40.4,0.1,0.21,0.43,2011-05-28
2426,3.64,4.02,34.19,0.08,0.18,0.37,2011-05-28
2426,4.02,4.43,28.94,0.07,0.15,0.31,2011-05-28
2426,4.43,4.88,24.06,0.06,0.12,0.26,2011-05-28
2426,4.88,5.37,20.08,0.05,0.1,0.22,2011-05-28
2426,5.37,5.9,16.54,0.04,0.08,0.18,2011-05-28
2426,5.9,6.47,13.57,0.03,0.07,0.15,2011-05-28
2426,6.47,7.09,11.11,0.03,0.06,0.12,2011-05-28
2426,7.09,7.76,9.052,0.023,0.045,0.1,2011-05-28
2426,7.76,8.48,7.38,0.019,0.037,0.082,2011-05-28
2426,8.48,9.26,5.985,0.016,0.03,0.067,2011-05-28
2426,9.26,10.1,4.86,0.014,0.024,0.055,2011-05-28
2426,10.1,11.0,3.959,0.012,0.02,0.045,2011-05-28
2426,11.0,12.0,3.199,0.01,0.016,0.037,2011-05-28
2426,12.0,13.0,2.617,0.009,0.013,0.03,2011-05-28
2426,13.0,14.1,2.131,0.007,0.011,0.025,2011-05-28
2426,14.1,15.3,1.741,0.006,0.009,0.02,2011-05-28
2426,15.3,16.6,1.414,0.005,0.007,0.017,2011-05-28
2426,16.6,18.0,1.151,0.004,0.006,0.014,2011-05-28
2426,18.0,19.5,0.9341,0.0034,0.0046,0.0112,2011-05-28
2426,19.5,21.1,0.7582,0.0029,0.0038,0.0091,2011-05-28
2426,21.1,22.8,0.6205,0.0024,0.0031,0.0075,2011-05-28
2426,22.8,24.7,0.5018,0.002,0.0025,0.0061,2011-05-28
2426,24.7,26.7,0.4092,0.0018,0.002,0.005,2011-05-28
2426,26.7,28.8,0.3337,0.0016,0.0017,0.0041,2011-05-28
2426,28.8,31.1,0.2723,0.0013,0.0014,0.0034,2011-05-28
2426,31.1,33.5,0.2209,0.0012,0.0011,0.0028,2011-05-28
2426,33.5,36.1,0.1819,0.001,0.0009,0.0023,2011-05-28
2426,36.1,38.9,0.1485,0.0009,0.0007,0.0019,2011-05-28
2426,38.9,41.9,0.121,0.0008,0.0006,0.0015,2011-05-28
2426,41.9,45.1,0.09939,0.00068,0.00049,0.00128,2011-05-28
2426,45.1,48.5,0.0817,0.0006,0.00041,0.00107,2011-05-28
2426,48.5,52.2,0.06612,0.00052,0.00033,0.00088,2011-05-28
2426,52.2,56.1,0.05415,0.00046,0.00027,0.00073,2011-05-28
2426,56.1,60.3,0.04376,0.00039,0.00022,0.0006,2011-05-28
2427,1.92,2.15,69.25,0.17,0.46,1.04,2011-06-24
2427,2.15,2.4,63.25,0.15,0.38,0.81,2011-06-24
2427,2.4,2.67,57.0,0.12,0.31,0.66,2011-06-24
2427,2.67,2.97,50.64,0.1,0.27,0.56,2011-06-24
2427,2.97,3.29,44.28,0.09,0.23,0.48,2011-06-24
2427,3.29,3.64,38.36,0.08,0.19,0.41,2011-06-24
2427,3.64,4.02,32.67,0.06,0.16,0.35,2011-06-24
2427,4.02,4.43,27.63,0.05,0.14,0.3,2011-06-24
2427,4.43,4.88,23.19,0.04,0.11,0.25,2011-06-24
2427,4.88,5.37,19.25,0.04,0.09,0.21,2011-06-24
2427,5.37,5.9,15.98,0.03,0.08,0.17,2011-06-24
2427,5.9,6.47,13.11,0.02,0.06,0.14,2011-06-24
2427,6.47,7.09,10.79,0.02,0.05,0.12,2011-06-24
2427,7.09,7.76,8.804,0.017,0.042,0.098,2011-06-24
2427,7.76,8.48,7.175,0.015,0.034,0.08,2011-06-24
2427,8.48,9.26,5.841,0.012,0.028,0.066,2011-06-24
2427,9.26,10.1,4.76,0.01,0.023,0.054,2011-06-24
2427,10.1,11.0,3.879,0.009,0.018,0.044,2011-06-24
2427,11.0,12.0,3.147,0.007,0.015,0.036,2011-06-24
2427,12.0,13.0,2.568,0.007,0.012,0.03,2011-06-24
2427,13.0,14.1,2.114,0.006,0.01,0.024,2011-06-24
2427,14.1,15.3,1.722,0.005,0.008,0.02,2011-06-24
2427,15.3,16.6,1.39,0.004,0.007,0.016,2011-06-24
2427,16.6,18.0,1.139,0.003,0.005,0.014,2011-06-24
2427,18.0,19.5,0.922,0.0026,0.0044,0.011,2011-06-24
2427,19.5,21.1,0.7486,0.0022,0.0035,0.009,2011-06-24
2427,21.1,22.8,0.6181,0.0019,0.0029,0.0075,2011-06-24
2427,22.8,24.7,0.5001,0.0016,0.0024,0.0061,2011-06-24
2427,24.7,26.7,0.4032,0.0014,0.0019,0.005,2011-06-24
2427,26.7,28.8,0.3308,0.0012,0.0016,0.0041,2011-06-24
2427,28.8,31.1,0.2693,0.001,0.0013,0.0033,2011-06-24
2427,31.1,33.5,0.2213,0.0009,0.001,0.0028,2011-06-24
2427,33.5,36.1,0.1798,0.0008,0.0008,0.0023,2011-06-24
2427,36.1,38.9,0.1471,0.0007,0.0007,0.0019,2011-06-24
2427,38.9,41.9,0.121,0.0006,0.0006,0.0015,2011-06-24
2427,41.9,45.1,0.0994,0.00054,0.00047,0.00128,2011-06-24
2427,45.1,48.5,0.0816,0.00047,0.00038,0.00107,2011-06-24
2427,48.5,52.2,0.06631,0.00041,0.00031,0.00088,2011-06-24
2427,52.2,56.1,0.05455,0.00036,0.00026,0.00074,2011-06-24
2427,56.1,60.3,0.0447,0.00031,0.00021,0.00061,2011-06-24
2428,1.92,2.15,71.81,0.17,0.42,1.08,2011-07-21
2428,2.15,2.4,65.72,0.15,0.35,0.84,2011-07-21
2428,2.4,2.67,59.04,0.12,0.29,0.69,2011-07-21
2428,2.67,2.97,52.35,0.1,0.25,0.58,2011-07-21
2428,2.97,3.29,46.02,0.09,0.22,0.5,2011-07-21
2428,3.29,3.64,39.65,0.08,0.19,0.43,2011-07-21
2428,3.64,4.02,33.73,0.06,0.16,0.36,2011-07-21
2428,4.02,4.43,28.57,0.05,0.13,0.31,2011-07-21
2428,4.43,4.88,23.88,0.04,0.11,0.26,2011-07-21
2428,4.88,5.37,19.89,0.04,0.09,0.22,2011-07-21
2428,5.37,5.9,16.45,0.03,0.07,0.18,2011-07-21
2428,5.9,6.47,13.53,0.02,0.06,0.15,2011-07-21
2428,6.47,7.09,11.11,0.02,0.05,0.12,2011-07-21
2428,7.09,7.76,9.062,0.017,0.041,0.101,2011-07-21
2428,7.76,8.48,7.342,0.014,0.033,0.082,2011-07-21
2428,8.48,9.26,6.005,0.012,0.027,0.067,2011-07-21
2428,9.26,10.1,4.868,0.01,0.022,0.055,2011-07-21
2428,10.1,11.0,3.972,0.009,0.018,0.045,2011-07-21
2428,11.0,12.0,3.229,0.007,0.014,0.037,2011-07-21
2428,12.0,13.0,2.622,0.007,0.012,0.03,2011-07-21
2428,13.0,14.1,2.146,0.005,0.01,0.025,2011-07-21
2428,14.1,15.3,1.753,0.005,0.008,0.02,2011-07-21
2428,15.3,16.6,1.419,0.004,0.006,0.017,2011-07-21
2428,16.6,18.0,1.153,0.003,0.005,0.014,2011-07-21
2428,18.0,19.5,0.9357,0.0026,0.0042,0.0112,2011-07-21
2428,19.5,21.1,0.7577,0.0022,0.0034,0.0091,2011-07-21
