%OSF estimates from the combined ACE and Wind 128-second magnetic field and electron data. See the paper 'Estimating the Open Solar Flux from In-Situ Measurements' for more info.
%
%(Anna Frost, 06/04/22)
%
%Year	Month	Day	Hour	Minute	Second	OSF (x10^{14} Wb)	OSF minimum (x10^{14} Wb)	OSF maximum (x10^{14} Wb)	Absolute OSF error (x10^{14} Wb)	Open Flux (%)	Inverted Flux (%)	Newly-Opened Flux (%)	Disconnected Flux (%)	Available Data (%)
1994	11	6	21	28	22	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1994	12	4	3	57	10	4.424583973	4.139167895	4.71000005	6.450687317	45.48786874	21.24279979	27.56152906	5.707802409	81.34317762
1994	12	31	10	25	58	6.89002735	6.513082425	7.266972275	5.470877056	66.77901359	14.60510055	12.11099876	6.504887091	96.70795306
1995	1	27	16	54	46	7.122343024	6.711155458	7.53353059	5.773206435	70.39424887	17.22485308	6.68682604	5.694072003	95.21921008
1995	2	23	23	23	34	7.151476378	6.703147934	7.599804822	6.269033422	71.28818376	16.67653327	6.44683874	5.588444234	91.76943554
1995	3	23	5	52	22	5.787213422	5.513775361	6.060651484	4.724865685	60.84370225	17.77996071	11.91879502	9.457542021	99.54908459
1995	4	19	12	21	10	6.740267936	6.409378162	7.071157711	4.909148681	68.79771516	14.48893283	8.694458175	8.018893832	98.90808344
1995	5	16	18	49	58	8.835701991	8.258657304	9.412746678	6.530830123	72.47104008	8.678684259	14.01226538	4.838010283	87.7003314
1995	6	13	1	18	46	5.767994624	5.479789265	6.056199983	4.996630166	66.04407713	14.60606061	5.724517906	13.62534435	98.60379204
1995	7	10	7	47	34	5.39400966	5.122047779	5.665971541	5.041924246	54.26300977	18.6192815	13.56989129	13.54781745	98.44624328
1995	8	6	14	16	22	5.273629183	4.93990351	5.607354855	6.328197553	51.47830234	19.77229375	19.90939437	8.840009537	91.13428944
1995	9	2	20	45	10	5.117370924	4.788572955	5.446168893	6.425134587	53.59019264	15.98526481	14.75330636	15.67123619	89.96034117
1995	9	30	3	13	58	7.901054306	7.507872092	8.294236519	4.976325923	68.90932115	11.73264329	14.45245829	4.905577272	98.67441734
1995	10	27	9	42	46	6.261970809	5.870229689	6.65371193	6.255875867	71.28502187	13.38219648	7.14623478	8.186546873	91.91068615
1995	11	23	16	11	34	5.020095498	4.696088656	5.344102339	6.454196775	49.40176131	18.38445187	20.01214698	12.20163984	89.44480661
1995	12	20	22	40	22	5.033878361	4.703689085	5.364067637	6.559341575	41.81162629	18.02138023	24.70744513	15.45954836	85.88580431
1996	1	17	5	9	10	6.542180761	6.168665767	6.915695755	5.709334658	52.52387449	14.67144156	22.10095498	10.70372897	95.57233661
1996	2	13	11	37	58	5.775948307	5.452094565	6.099802049	5.606936296	60.5380659	16.35675126	12.82993274	10.2752501	96.12104091
1996	3	11	18	6	46	4.715300183	4.406174109	5.024426256	6.555809001	48.25573939	16.2819033	16.62819033	18.83416699	84.71316819
1996	4	8	0	35	34	4.288779702	4.007572085	4.569987318	6.556821197	45.11657617	19.78281699	16.0459917	19.05461514	85.04916608
1996	5	5	7	4	22	5.928444885	5.597235385	6.259654385	5.586785514	52.56649161	13.0555085	17.91179626	16.46620363	96.20796436
1996	6	1	13	33	10	5.148708923	4.903348529	5.394069316	4.76547417	70.18799869	14.29117936	3.765438846	11.7553831	99.40783398
1996	6	28	20	1	58	5.51409026	5.225476257	5.802704264	5.234118229	64.86937187	16.22568093	7.465258477	11.43968872	97.72924815
1996	7	26	2	30	46	5.556715951	5.208925977	5.904505925	6.258912226	60.38315989	18.33609272	9.567171239	11.71357616	91.87808986
1996	8	22	8	59	34	5.750328047	5.42219209	6.078464003	5.70638673	48.49104859	21.67661267	21.93805058	7.89428815	95.58863476
1996	9	18	15	28	22	5.280048738	4.976932797	5.583164679	5.740779225	45.78018223	19.32232346	20.60933941	14.2881549	95.39848971
1996	10	15	21	57	10	6.098368147	5.73111976	6.465616535	6.022076376	59.07510431	17.13606861	14.67315716	9.115669912	93.74185137
1996	11	12	4	25	58	6.117793006	5.716666265	6.518919748	6.556723	43.05067416	17.59217841	29.50987284	9.847274586	85.01656978
1996	12	9	10	54	46	5.421987698	5.069833768	5.774141628	6.494923082	51.81398417	18.21899736	19.96042216	10.00659631	82.35997175
1997	1	5	17	23	34	6.581997825	6.203105021	6.960890629	5.756501509	58.21933425	13.17829457	18.75854993	9.843821249	95.31156625
1997	2	1	23	52	22	6.081342466	5.792772927	6.369912005	4.745161782	67.39296636	13.22083879	8.895806029	10.49038882	99.47848761
1997	3	1	6	21	10	4.946325386	4.714472273	5.178178499	4.687380929	59.52147373	13.84892086	6.894484412	19.73512099	99.67946977
