Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
1976:05:31_21h:07m:13s,89N,-126S,108Avg,111Nf,-92Sf,101Avgf
1976:06:10_21h:07m:13s,99N,-121S,110Avg,109Nf,-92Sf,101Avgf
1976:06:20_21h:07m:13s,107N,-114S,111Avg,108Nf,-93Sf,100Avgf
1976:06:30_21h:07m:13s,117N,-107S,112Avg,106Nf,-93Sf,100Avgf
1976:07:10_21h:07m:13s,119N,-99S,109Avg,105Nf,-93Sf,99Avgf
1976:07:20_21h:07m:13s,128N,-97S,112Avg,104Nf,-94Sf,99Avgf
1976:07:30_21h:07m:13s,135N,-94S,114Avg,103Nf,-94Sf,99Avgf
1976:08:09_21h:07m:13s,139N,-81S,110Avg,102Nf,-95Sf,98Avgf
1976:08:19_21h:07m:13s,118N,-80S,99Avg,100Nf,-95Sf,98Avgf
1976:08:29_21h:07m:13s,117N,-66S,92Avg,99Nf,-95Sf,97Avgf
1976:09:08_21h:07m:13s,121N,-62S,91Avg,98Nf,-96Sf,97Avgf
1976:09:18_21h:07m:13s,132N,-56S,94Avg,97Nf,-96Sf,97Avgf
1976:09:28_21h:07m:13s,129N,-62S,96Avg,97Nf,-96Sf,96Avgf
1976:10:08_21h:07m:13s,122N,-67S,95Avg,96Nf,-97Sf,96Avgf
1976:10:18_21h:07m:13s,113N,-69S,91Avg,95Nf,-97Sf,96Avgf
1976:10:28_21h:07m:13s,103N,-82S,93Avg,94Nf,-97Sf,96Avgf
1976:11:07_21h:07m:13s,95N,-88S,91Avg,93Nf,-98Sf,95Avgf
1976:11:17_21h:07m:13s,88N,-95S,92Avg,93Nf,-98Sf,95Avgf
1976:11:27_21h:07m:13s,86N,-107S,97Avg,92Nf,-98Sf,95Avgf
1976:12:07_21h:07m:13s,89N,-107S,98Avg,91Nf,-98Sf,95Avgf
1976:12:17_21h:07m:13s,86N,-110S,98Avg,91Nf,-98Sf,95Avgf
1976:12:27_21h:07m:13s,75N,-111S,93Avg,90Nf,-99Sf,94Avgf
1977:01:06_21h:07m:13s,58N,-112S,85Avg,90Nf,-99Sf,94Avgf
1977:01:16_21h:07m:13s,52N,-97S,75Avg,89Nf,-99Sf,94Avgf
1977:01:26_21h:07m:13s,44N,-81S,62Avg,89Nf,-99Sf,94Avgf
1977:02:05_21h:07m:13s,52N,-104S,78Avg,89Nf,-100Sf,94Avgf
1977:02:15_21h:07m:13s,55N,-112S,83Avg,88Nf,-100Sf,94Avgf
1977:02:25_21h:07m:13s,58N,-127S,92Avg,88Nf,-100Sf,94Avgf
1977:03:07_21h:07m:13s,53N,-139S,96Avg,88Nf,-100Sf,94Avgf
1977:03:17_21h:07m:13s,62N,-134S,98Avg,87Nf,-101Sf,94Avgf
1977:03:27_21h:07m:13s,56N,-135S,95Avg,87Nf,-101Sf,94Avgf
1977:04:06_21h:07m:13s,61N,-132S,96Avg,87Nf,-101Sf,94Avgf
1977:04:16_21h:07m:13s,60N,-136S,98Avg,87Nf,-102Sf,94Avgf
1977:04:26_21h:07m:13s,69N,-124S,96Avg,87Nf,-102Sf,94Avgf
1977:05:06_21h:07m:13s,76N,-115S,96Avg,86Nf,-103Sf,95Avgf
1977:05:16_21h:07m:13s,84N,-119S,102Avg,86Nf,-103Sf,95Avgf
1977:05:26_21h:07m:13s,93N,-123S,108Avg,86Nf,-104Sf,95Avgf
1977:06:05_21h:07m:13s,98N,-116S,107Avg,86Nf,-104Sf,95Avgf
1977:06:15_21h:07m:13s,96N,-109S,102Avg,86Nf,-105Sf,95Avgf
1977:06:25_21h:07m:13s,104N,-103S,104Avg,86Nf,-106Sf,96Avgf
1977:07:05_21h:07m:13s,110N,-91S,100Avg,86Nf,-106Sf,96Avgf
1977:07:15_21h:07m:13s,113N,-89S,101Avg,86Nf,-107Sf,96Avgf
1977:07:25_21h:07m:13s,112N,-84S,98Avg,86Nf,-107Sf,97Avgf
1977:08:04_21h:07m:13s,113N,-82S,97Avg,86Nf,-108Sf,97Avgf
1977:08:14_21h:07m:13s,115N,-66S,91Avg,86Nf,-109Sf,97Avgf
1977:08:24_21h:07m:13s,107N,-67S,87Avg,86Nf,-109Sf,98Avgf
1977:09:03_21h:07m:13s,110N,-67S,88Avg,86Nf,-110Sf,98Avgf
1977:09:13_21h:07m:13s,109N,-71S,90Avg,87Nf,-110Sf,98Avgf
1977:09:23_21h:07m:13s,114N,-76S,95Avg,87Nf,-111Sf,99Avgf
1977:10:03_21h:07m:13s,113N,-71S,92Avg,87Nf,-111Sf,99Avgf
1977:10:13_21h:07m:13s,117N,-68S,93Avg,87Nf,-111Sf,99Avgf
1977:10:23_21h:07m:13s,115N,-72S,94Avg,87Nf,-112Sf,99Avgf
1977:11:02_21h:07m:13s,108N,-82S,95Avg,88Nf,-112Sf,100Avgf
1977:11:12_21h:07m:13s,106N,-92S,99Avg,88Nf,-112Sf,100Avgf
1977:11:22_21h:07m:13s,106N,-95S,100Avg,88Nf,-112Sf,100Avgf
1977:12:02_21h:07m:13s,104N,-103S,103Avg,88Nf,-112Sf,100Avgf
1977:12:12_21h:07m:13s,90N,-109S,99Avg,89Nf,-112Sf,100Avgf
1977:12:22_21h:07m:13s,80N,-118S,98Avg,89Nf,-111Sf,100Avgf
1978:01:01_21h:07m:13s,56N,-129S,93Avg,89Nf,-111Sf,100Avgf
1978:01:11_21h:07m:13s,49N,-137S,93Avg,89Nf,-111Sf,100Avgf
1978:01:21_21h:07m:13s,52N,-144S,98Avg,89Nf,-110Sf,100Avgf
1978:01:31_21h:07m:13s,52N,-146S,99Avg,89Nf,-110Sf,100Avgf
1978:02:10_21h:07m:13s,56N,-152S,104Avg,89Nf,-109Sf,99Avgf
1978:02:20_21h:07m:13s,48N,-152S,100Avg,89Nf,-108Sf,99Avgf
1978:03:02_21h:07m:13s,50N,-158S,104Avg,89Nf,-107Sf,98Avgf
1978:03:12_21h:07m:13s,49N,-157S,103Avg,89Nf,-107Sf,98Avgf
1978:03:22_21h:07m:13s,54N,-157S,105Avg,89Nf,-106Sf,97Avgf
1978:04:01_21h:07m:13s,55N,-149S,102Avg,88Nf,-105Sf,97Avgf
1978:04:11_21h:07m:13s,50N,-151S,101Avg,88Nf,-104Sf,96Avgf
1978:04:21_21h:07m:13s,58N,-133S,95Avg,88Nf,-102Sf,95Avgf
1978:05:01_21h:07m:13s,66N,-125S,96Avg,87Nf,-101Sf,94Avgf
1978:05:11_21h:07m:13s,70N,-117S,94Avg,86Nf,-100Sf,93Avgf
