date,north_field,south_field,polarity_raw,polarity
1980-01-01,-8.0,-18.0,1,0.9836748576936802
1980-01-02,-8.3,-17.8,1,0.9813680813098666
1980-01-03,-8.6,-17.6,1,0.978738846227712
1980-01-04,-8.9,-17.4,1,0.9757431300314515
1980-01-05,-9.2,-17.2,1,0.972331216886695
1980-01-06,-9.5,-17.0,1,0.9684470564892362
1980-01-07,-9.8,-16.8,1,0.9640275800758169
1980-01-08,-10.1,-16.6,1,0.9590019804360366
1980-01-09,-10.4,-16.4,1,0.9532909670460459
1980-01-10,-10.7,-16.2,1,0.9468060128462683
1980-01-11,-11.0,-16.0,1,0.9394486160260991
1980-01-12,-11.3,-15.9,1,0.9311096086675776
1980-01-13,-11.6,-15.8,1,0.9216685544064713
1980-01-14,-11.9,-15.7,1,0.9109932894754259
1980-01-15,-12.2,-15.6,1,0.8989396755291731
1980-01-16,-12.5,-15.5,1,0.8853516482022625
1980-01-17,-12.8,-15.4,1,0.870061661742672
1980-01-18,-13.1,-15.3,1,0.8528916461303622
1980-01-19,-13.4,-15.2,1,0.8336546070121553
1980-01-20,-13.7,-15.1,1,0.8121570079614577
1980-01-21,-14.0,-15.0,1,0.7882020755281643
1980-01-22,-14.3,-14.8,1,0.7615941559557649
1980-01-23,-14.6,-14.6,1,0.7321442233518527
1980-01-24,-14.9,-14.4,-1,0.6996765874203055
1980-01-25,-15.2,-14.2,-1,0.6640367702678489
1980-01-26,-15.5,-14.0,-1,0.6251004140085177
1980-01-27,-15.8,-13.8,-1,0.5827829453479103
1980-01-28,-16.1,-13.6,-1,0.5370495669980353
1980-01-29,-16.4,-13.4,-1,0.4879249826495162
1980-01-30,-16.7,-13.2,-1,0.4355021139154801
1980-01-31,-17.0,-13.0,-1,0.3799489622552249
1980-02-01,-17.3,-12.9,-1,0.32151273753163456
1980-02-02,-17.6,-12.8,-1,0.2605204458355027
1980-02-03,-17.9,-12.7,-1,0.197375320224904
1980-02-04,-18.2,-12.6,-1,0.13254878839087847
1980-02-05,-18.5,-12.5,-1,0.0665680765022626
1980-02-06,-18.8,-12.4,-1,0.0
1980-02-07,-19.1,-12.3,-1,-0.06656807650226226
1980-02-08,-19.4,-12.2,-1,-0.13254878839087825
1980-02-09,-19.7,-12.1,-1,-0.197375320224904
1980-02-10,-20.0,-12.0,-1,-0.2605204458355026
1980-02-11,-20.3,-11.8,-1,-0.32151273753163423
1980-02-12,-20.6,-11.6,-1,-0.379948962255225
1980-02-13,-20.9,-11.4,-1,-0.43550211391547977
1980-02-14,-21.2,-11.2,-1,-0.4879249826495158
1980-02-15,-21.5,-11.0,-1,-0.5370495669980355
1980-02-16,-21.8,-10.8,-1,-0.5827829453479101
1980-02-17,-22.1,-10.6,-1,-0.6251004140085175
1980-02-18,-22.4,-10.4,-1,-0.6640367702678489
1980-02-19,-22.7,-10.2,-1,-0.6996765874203053
1980-02-20,-23.0,-10.0,-1,-0.7321442233518525
1980-02-21,-23.3,-9.9,-1,-0.7615941559557646
1980-02-22,-23.6,-9.8,-1,-0.788202075528164
1980-02-23,-23.9,-9.7,-1,-0.8121570079614575
1980-02-24,-24.2,-9.6,-1,-0.8336546070121553
1980-02-25,-24.5,-9.5,-1,-0.852891646130362
1980-02-26,-24.8,-9.4,-1,-0.870061661742672
1980-02-27,-25.1,-9.3,-1,-0.8853516482022625
1980-02-28,-25.4,-9.2,-1,-0.898939675529173
1980-02-29,-25.7,-9.1,-1,-0.910993289475426
1980-03-01,-26.0,-9.0,-1,-0.9216685544064713
1980-03-02,-26.3,-8.8,-1,-0.9311096086675774
1980-03-03,-26.6,-8.6,-1,-0.9394486160260991
1980-03-04,-26.9,-8.4,-1,-0.9468060128462681
1980-03-05,-27.2,-8.2,-1,-0.9532909670460459
1980-03-06,-27.5,-8.0,-1,-0.9590019804360368
1980-03-07,-27.8,-7.8,-1,-0.9640275800758169
1980-03-08,-28.1,-7.6,-1,-0.9684470564892362
1980-03-09,-28.4,-7.4,-1,-0.9723312168866949
1980-03-10,-28.7,-7.2,-1,-0.9757431300314514
1980-03-11,-29.0,-7.0,-1,-0.9787388462277122
1980-03-12,-29.3,-6.9,-1,-0.9813680813098666
1980-03-13,-29.6,-6.8,-1,-0.9836748576936802
1980-03-14,-29.9,-6.7,-1,-1.0
1980-03-15,-30.2,-6.6,-1,-1.0
1980-03-16,-30.5,-6.5,-1,-1.0
1980-03-17,-30.8,-6.4,-1,-1.0
1980-03-18,-31.1,-6.3,-1,-1.0
1980-03-19,-31.4,-6.2,-1,-1.0
