Carr Rot,Start Date,R_av,R_n,R_s,L_av,L_n,L_s
CR 1642,1976-05-27 15h,6.8,4.7,-9,14.5,13.6,-15.5
CR 1643,1976-06-23 21h,6.2,4.5,-7.8,15.3,15.7,-14.8
CR 1644,1976-07-21 04h,6.8,8.2,-5.5,20,26.6,-13.5
CR 1645,1976-08-17 11h,4,4.1,-4,13.2,12.2,-14.2
CR 1646,1976-09-13 17h,6.7,8.7,-4.7,14.8,14.7,-15
CR 1647,1976-10-11 00h,7.9,7.4,-8.4,16.1,14.1,-18.1
CR 1648,1976-11-07 06h,7.1,5.8,-8.5,13.7,12.8,-14.6
CR 1649,1976-12-04 13h,7.4,7,-7.9,17,19,-15.1
CR 1650,1976-12-31 20h,6.6,4.3,-8.8,17.3,15.3,-19.2
CR 1651,1977-01-28 02h,7.7,2.5,-12.9,17.6,16.9,-18.3
CR 1652,1977-02-24 09h,4.4,0.2,-8.5,15.3,14.9,-15.6
CR 1653,1977-03-23 15h,8.6,4.3,-13,23.3,17.7,-29
CR 1654,1977-04-19 22h,13.7,12,-15.4,28.3,25.4,-31.2
CR 1655,1977-05-17 05h,14,12.5,-15.5,32.9,30.6,-35.3
CR 1656,1977-06-13 11h,15.5,13.6,-17.3,32.9,27.8,-38
CR 1657,1977-07-10 18h,11.8,11.5,-12.2,25.4,20.6,-30.1
CR 1658,1977-08-07 00h,10,9.8,-10.1,19.4,14.4,-24.4
CR 1659,1977-09-03 07h,12.5,10.4,-14.7,23,19.7,-26.2
CR 1660,1977-09-30 14h,12.3,9.3,-15.2,21.8,14.6,-28.9
CR 1661,1977-10-27 20h,12.4,9.8,-15.1,29.1,29,-29.2
CR 1662,1977-11-24 03h,16.3,9.5,-23.1,36.8,31.9,-41.6
CR 1663,1977-12-21 10h,15.7,14.5,-16.9,34.2,39.5,-29
CR 1664,1978-01-17 16h,26.7,25.6,-27.9,53.2,54.4,-52
CR 1665,1978-02-13 23h,36.1,38.9,-33.2,56.5,58.9,-54.1
