date,actual_flux,predicted_flux,absolute_error,relative_error
2018-07-24,59.493336,57.879135,1.6142006,2.713246
2018-07-25,59.594166,57.953175,1.6409912,2.7536106
2018-07-26,59.695,57.94208,1.7529182,2.9364574
2018-07-27,59.795834,57.969273,1.826561,3.0546627
2018-07-28,59.896667,58.04257,1.8540993,3.0954967
2018-07-29,59.9975,58.08107,1.9164314,3.1941853
2018-07-30,60.098335,58.075584,2.0227509,3.3657353
2018-07-31,60.199165,58.02795,2.171215,3.6067195
2018-08-01,60.3,57.9328,2.367199,3.925703
2018-08-02,60.260002,57.856754,2.4032478,3.988131
2018-08-03,59.2,57.780666,1.4193344,2.3975244
2018-08-04,59.67,57.69892,1.971077,3.3032966
2018-08-05,59.56,57.638367,1.9216347,3.2263846
2018-08-06,60.55,57.662884,2.8871155,4.7681513
2018-08-07,60.06,57.633533,2.426468,4.040073
2018-08-08,59.67,57.653893,2.0161057,3.3787594
2018-08-09,59.41,57.725037,1.6849632,2.836161
2018-08-10,58.19,57.738773,0.45122528,0.7754344
2018-08-11,58.149525,57.803886,0.34563828,0.5943957
2018-08-12,58.109047,57.953335,0.15571213,0.26796538
2018-08-13,58.068573,57.96821,0.100364685,0.17283823
2018-08-14,58.028095,57.95223,0.0758667,0.13074133
2018-08-15,57.987617,57.888474,0.09914398,0.1709744
2018-08-16,57.947144,57.99295,0.045806885,0.07904942
2018-08-17,57.906666,58.017162,0.11049652,0.19081831
2018-08-18,57.86619,57.966103,0.099910736,0.17265822
2018-08-19,57.825714,57.899403,0.07368851,0.12743208
2018-08-20,57.785236,57.878643,0.09340668,0.16164453
2018-08-21,57.744762,57.813942,0.069179535,0.11980227
2018-08-22,57.704285,57.690014,0.0142707825,0.02473089
2018-08-23,57.66381,57.71119,0.04737854,0.082163386
2018-08-24,57.623333,57.778584,0.15525055,0.26942307
2018-08-25,57.582855,57.82805,0.24519348,0.42580986
2018-08-26,57.54238,57.862423,0.32004166,0.55618423
2018-08-27,57.501904,57.448895,0.053009033,0.09218657
2018-08-28,57.46143,57.182465,0.278965,0.48548216
2018-08-29,57.42095,57.1078,0.3131523,0.5453625
2018-08-30,57.380478,57.212494,0.16798401,0.29275465
2018-08-31,57.34,57.425617,0.085617065,0.14931472
2018-09-01,60.63,57.668907,2.961094,4.883876
2018-09-02,60.29,57.79018,2.4998207,4.146327
2018-09-03,60.5,57.834927,2.6650734,4.4050803
2018-09-04,61.75,57.826565,3.9234352,6.353741
2018-09-05,60.49,57.94101,2.5489922,4.2139063
2018-09-06,59.4,58.06023,1.3397713,2.2555072
2018-09-07,58.14,58.076256,0.06374359,0.1096381
2018-09-08,58.38,58.162796,0.21720505,0.37205386
2018-09-09,58.47,58.13381,0.33619308,0.5749839
2018-09-10,59.83,58.093876,1.736126,2.9017649
2018-09-11,60.29,58.107193,2.182808,3.620514
2018-09-12,59.64,58.097084,1.5429153,2.587048
2018-09-13,60.14,57.968204,2.171795,3.611232
2018-09-14,60.13,57.909508,2.2204933,3.692821
2018-09-15,60.69,57.86323,2.826767,4.657715
