date,predicted_flux
2011-05-20,44.500225
2011-05-21,44.890247
2011-05-22,44.95129
2011-05-23,44.836037
2011-05-24,44.959816
2011-05-25,45.162247
2011-05-26,45.309967
2011-05-27,45.37106
2011-05-28,45.07734
2011-05-29,44.333477
2011-05-30,43.94244
2011-05-31,43.929256
2011-06-01,43.98841
2011-06-02,43.960384
2011-06-03,43.96437
2011-06-04,44.153053
2011-06-05,44.209175
2011-06-06,43.764935
2011-06-07,43.829823
2011-06-08,43.99842
2011-06-09,44.15644
2011-06-10,44.425396
2011-06-11,44.593956
2011-06-12,44.794804
2011-06-13,45.178493
2011-06-14,45.507336
2011-06-15,45.72689
2011-06-16,46.01216
2011-06-17,46.181454
2011-06-18,46.040424
2011-06-19,46.01742
2011-06-20,46.123436
2011-06-21,46.249447
2011-06-22,46.26793
2011-06-23,46.187336
2011-06-24,45.992123
2011-06-25,46.051178
2011-06-26,46.30198
2011-06-27,46.711124
2011-06-28,47.22777
2011-06-29,47.538967
2011-06-30,47.716774
2011-07-01,47.630615
2011-07-02,47.23333
2011-07-03,46.9693
2011-07-04,46.681404
2011-07-05,46.273666
2011-07-06,46.309284
2011-07-07,46.46581
2011-07-08,46.61871
2011-07-09,46.55307
2011-07-10,46.28268
2011-07-11,46.04617
2011-07-12,45.748524
2011-07-13,45.754105
2011-07-14,45.952988
2011-07-15,46.14658
2011-07-16,46.16786
2011-07-17,46.28301
2011-07-18,46.23868
2011-07-19,45.905052
2011-07-20,45.33809
2011-07-21,45.137737
2011-07-22,45.28518
2011-07-23,45.58159
2011-07-24,46.058964
2011-07-25,46.586937
2011-07-26,46.864082
2011-07-27,47.102848
2011-07-28,47.24214
2011-07-29,47.040127
2011-07-30,46.603477
2011-07-31,45.96487
2011-08-01,45.436104
2011-08-02,45.25506
2011-08-03,45.333843
2011-08-04,45.541153
2011-08-05,45.599167
2011-08-06,45.157383
2011-08-07,44.525013
2011-08-08,44.472847
2011-08-09,44.663258
2011-08-10,44.950676
2011-08-11,45.410072
2011-08-12,45.9504
2011-08-13,46.49865
2011-08-14,46.961033
2011-08-15,47.233547
2011-08-16,47.42724
2011-08-17,47.51601
2011-08-18,47.433376
2011-08-19,47.22398
2011-08-20,46.99875
2011-08-21,46.785404
2011-08-22,46.38381
2011-08-23,45.923
2011-08-24,45.385998
2011-08-25,45.230377
2011-08-26,45.30235
2011-08-27,45.353363
2011-08-28,45.36325
2011-08-29,45.35788
2011-08-30,45.364586
2011-08-31,45.44643
