date,actual_flux,predicted_flux,absolute_error,relative_error
2018-07-24,59.493336,57.35827,2.135067,3.58875
2018-07-25,59.594166,57.39991,2.1942558,3.6819975
2018-07-26,59.695,57.386208,2.308792,3.8676474
2018-07-27,59.795834,57.416725,2.3791084,3.9787195
2018-07-28,59.896667,57.481697,2.4149704,4.031894
2018-07-29,59.9975,57.520348,2.4771538,4.128762
2018-07-30,60.098335,57.519062,2.5792732,4.2917547
2018-07-31,60.199165,57.475975,2.7231903,4.5236344
2018-08-01,60.3,57.39961,2.9003906,4.8099346
2018-08-02,60.260002,57.330402,2.9295998,4.861599
2018-08-03,59.2,57.260704,1.9392967,3.2758389
2018-08-04,59.67,57.17534,2.4946594,4.18076
2018-08-05,59.56,57.140404,2.4195976,4.062454
2018-08-06,60.55,57.164158,3.3858414,5.5918107
2018-08-07,60.06,57.159485,2.9005165,4.829365
2018-08-08,59.67,57.183548,2.4864502,4.1670027
2018-08-09,59.41,57.250454,2.159546,3.6349874
2018-08-10,58.19,57.28899,0.9010086,1.5483909
2018-08-11,58.149525,57.353127,0.79639816,1.3695695
2018-08-12,58.109047,57.445805,0.66324234,1.1413754
2018-08-13,58.068573,57.45908,0.60949326,1.0496094
2018-08-14,58.028095,57.461647,0.5664482,0.976162
2018-08-15,57.987617,57.428608,0.55900955,0.96401536
2018-08-16,57.947144,57.479527,0.46761703,0.80697167
2018-08-17,57.906666,57.474194,0.43247223,0.7468436
2018-08-18,57.86619,57.41861,0.44758224,0.773478
2018-08-19,57.825714,57.358974,0.46673965,0.80714893
2018-08-20,57.785236,57.33176,0.45347595,0.7847609
2018-08-21,57.744762,57.240448,0.5043144,0.8733509
2018-08-22,57.704285,57.13206,0.57222366,0.99164855
2018-08-23,57.66381,57.15765,0.50616074,0.8777789
2018-08-24,57.623333,57.238792,0.38454056,0.6673348
2018-08-25,57.582855,57.291725,0.29113007,0.5055846
2018-08-26,57.54238,57.27142,0.27096176,0.47089076
2018-08-27,57.501904,56.95698,0.5449219,0.94765884
2018-08-28,57.46143,56.657066,0.80436325,1.3998315
2018-08-29,57.42095,56.539967,0.88098526,1.5342574
2018-08-30,57.380478,56.665737,0.71474075,1.2456166
2018-08-31,57.34,56.883812,0.4561882,0.79558456
2018-09-01,60.63,57.10256,3.527443,5.8179827
2018-09-02,60.29,57.235497,3.0545044,5.066353
2018-09-03,60.5,57.306664,3.1933365,5.278242
2018-09-04,61.75,57.34651,4.403488,7.131155
2018-09-05,60.49,57.447216,3.0427856,5.030229
2018-09-06,59.4,57.538635,1.8613663,3.1336133
2018-09-07,58.14,57.56679,0.57320786,0.98590964
2018-09-08,58.38,57.628944,0.7510567,1.2864965
2018-09-09,58.47,57.61039,0.8596115,1.4701753
2018-09-10,59.83,57.577793,2.2522087,3.7643466
2018-09-11,60.29,57.56913,2.720871,4.512972
2018-09-12,59.64,57.51431,2.1256905,3.5642028
2018-09-13,60.14,57.391735,2.7482643,4.569778
2018-09-14,60.13,57.329674,2.8003273,4.6571217
2018-09-15,60.69,57.281193,3.4088058,5.6167507
2018-09-16,59.71,57.27465,2.4353485,4.0786276
2018-09-17,60.510002,57.38302,3.1269836,5.1677136
2018-09-18,59.850002,57.46265,2.387352,3.9888923
2018-09-19,60.760002,57.488243,3.271759,5.384725
2018-09-20,60.56,57.537544,3.0224571,4.990847
2018-09-21,59.56,57.584587,1.9754143,3.3166792
2018-09-22,59.19,57.610847,1.5791512,2.6679358
2018-09-23,57.350002,57.67423,0.32422638,0.5653468
2018-09-24,58.100002,57.677574,0.42242813,0.72707075
2018-09-25,59.9,57.63468,2.2653198,3.781836
2018-09-26,59.83,57.61079,2.2192116,3.7091951
2018-09-27,58.73,57.599743,1.1302567,1.9244963
2018-09-28,61.33,57.590202,3.7397995,6.0978303
2018-09-29,61.52,57.58864,3.9313622,6.390381
2018-09-30,60.38,57.626358,2.753643,4.5605216
2018-10-01,60.98,57.596855,3.3831444,5.5479574
2018-10-02,60.42,57.57053,2.8494682,4.716101
2018-10-03,59.760002,57.51808,2.2419205,3.7515402
2018-10-04,60.05,57.482426,2.5675735,4.2757263
2018-10-05,60.58,57.460327,3.1196747,5.1496773
2018-10-06,58.92,57.446533,1.473465,2.5007892
2018-10-07,60.43,57.42844,3.0015602,4.9670033
2018-10-08,60.383102,57.519634,2.8634682,4.742168
2018-10-09,60.33621,57.539696,2.7965126,4.634883
2018-10-10,60.28931,57.485687,2.8036232,4.6502824
2018-10-11,60.242413,57.4679,2.7745132,4.6055813
2018-10-12,60.19552,57.45966,2.735859,4.5449543
2018-10-13,60.14862,57.479797,2.6688232,4.437048
2018-10-14,60.101723,57.50253,2.5991936,4.3246574
2018-10-15,60.05483,57.396717,2.6581116,4.4261413
2018-10-16,60.00793,57.24526,2.7626724,4.6038456
2018-10-17,59.961037,57.20269,2.7583466,4.6002316
2018-10-18,59.91414,57.24175,2.67239,4.4603662
2018-10-19,59.86724,57.32364,2.543602,4.2487373
2018-10-20,59.820343,57.349514,2.470829,4.130416
2018-10-21,59.77345,57.344746,2.4287033,4.063181
2018-10-22,59.72655,57.347202,2.3793488,3.9837372
2018-10-23,59.679657,57.351128,2.3285294,3.9017136
2018-10-24,59.63276,57.318405,2.314354,3.8810112
2018-10-25,59.58586,57.311146,2.2747154,3.8175423
2018-10-26,59.538967,57.309105,2.2298622,3.7452147
2018-10-27,59.49207,57.367805,2.1242638,3.5706673
2018-10-28,59.44517,57.399384,2.0457878,3.4414701
2018-10-29,59.398277,57.397015,2.0012627,3.3692267
2018-10-30,59.35138,57.366745,1.9846344,3.3438723
2018-10-31,59.30448,57.330265,1.9742165,3.32895
2018-11-01,59.257587,57.299667,1.9579201,3.3040833
2018-11-02,59.21069,57.297466,1.9132233,3.2312126
2018-11-03,59.163795,57.30355,1.8602448,3.144228
2018-11-04,59.116898,57.331913,1.7849846,3.0194151
2018-11-05,59.07,57.394386,1.6756134,2.836657
2018-11-06,59.98,57.50143,2.478569,4.132326
2018-11-07,59.88,57.50589,2.3741112,3.9647813
2018-11-08,57.68,57.51851,0.1614914,0.27997816
2018-11-09,59.350002,57.509933,1.8400688,3.1003685
2018-11-10,58.75,57.499256,1.2507439,2.1289258
2018-11-11,58.09,57.460888,0.62911224,1.0829958
2018-11-12,58.12,57.37339,0.74660873,1.2845987
2018-11-13,56.33,57.247368,0.917366,1.6285566
2018-11-14,57.41,57.227917,0.18208313,0.31716275
2018-11-15,58.22,57.30012,0.9198799,1.5800066
2018-11-16,58.56,57.35749,1.2025108,2.053468
2018-11-17,58.600002,57.381817,1.2181854,2.0788145
2018-11-18,59.17,57.341732,1.8282661,3.0898533
2018-11-19,58.87,57.275444,1.5945549,2.7086036
2018-11-20,58.86,57.20052,1.659481,2.8193698
2018-11-21,59.34,57.218483,2.1215172,3.575189
2018-11-22,59.36,57.25551,2.1044922,3.5453036
2018-11-23,61.38,57.260822,4.119179,6.7109456
2018-11-24,60.9,57.26958,3.6304207,5.961282
2018-11-25,60.43,57.262135,3.1678658,5.242207
2018-11-26,59.67,57.25703,2.4129677,4.043854
2018-11-27,61.55,57.257294,4.2927055,6.9743385
2018-11-28,60.57,57.304054,3.2659454,5.3920183
2018-11-29,61.15,57.367336,3.7826653,6.185879
2018-11-30,62.04,57.398724,4.6412773,7.481105
2018-12-01,60.36,57.399616,2.9603844,4.9045467
2018-12-02,61.05,57.474068,3.5759315,5.857382
2018-12-03,60.12,57.545486,2.5745125,4.2822895
2018-12-04,58.95,57.58345,1.3665504,2.3181517
2018-12-05,59.07,57.597992,1.4720078,2.491972
2018-12-06,58.5,57.559166,0.94083405,1.6082634
2018-12-07,58.04,57.491695,0.5483055,0.9447028
2018-12-08,57.58,57.457413,0.12258911,0.21290223
2018-12-09,57.71,57.4168,0.29319763,0.5080534
2018-12-10,57.31,57.36359,0.053588867,0.09350701
2018-12-11,57.53,57.281548,0.24845123,0.43186378
2018-12-12,58.47,57.266247,1.2037544,2.0587556
2018-12-13,57.75,57.3639,0.38610077,0.6685728
2018-12-14,58.62,57.49072,1.1292801,1.9264417
2018-12-15,59.98,57.567394,2.4126053,4.02235
2018-12-16,58.94,57.5555,1.3844986,2.3489966
2018-12-17,60.57,57.50956,3.06044,5.0527325
2018-12-18,58.48,57.561916,0.9180832,1.5699098
2018-12-19,60.27,57.599926,2.6700745,4.430188
2018-12-20,59.38,57.62748,1.7525215,2.9513667
2018-12-21,60.9,57.612114,3.2878876,5.39883
2018-12-22,61.44,57.599003,3.8409958,6.2516212
2018-12-23,61.64,57.625492,4.0145073,6.5128284
2018-12-24,60.77,57.643356,3.1266441,5.1450453
2018-12-25,60.37,57.64985,2.72015,4.5057974
2018-12-26,60.75,57.644707,3.1052933,5.1115937
2018-12-27,61.18,57.630733,3.5492668,5.8013515
2018-12-28,59.91,57.613434,2.296566,3.8333602
2018-12-29,61.12,57.714447,3.405552,5.5719113
2018-12-30,58.850002,57.707912,1.1420898,1.9406793
2018-12-31,60.17,57.65738,2.512619,4.1758666
2019-01-01,59.05,57.637276,1.4127235,2.3924193
2019-01-02,59.06333,57.640694,1.4226379,2.4086652
2019-01-03,59.076668,57.62001,1.4566574,2.4657068
2019-01-04,59.09,57.55623,1.5337715,2.5956533
2019-01-05,59.41,57.540604,1.8693962,3.146602
2019-01-06,57.91,57.5405,0.3694992,0.6380577
2019-01-07,58.63,57.525368,1.1046333,1.8840753
2019-01-08,59.71,57.509037,2.200962,3.6860862
2019-01-09,58.08,57.54002,0.53998184,0.9297208
2019-01-10,56.850002,57.568188,0.7181854,1.2632989
2019-01-11,58.260002,57.61599,0.64401245,1.1054109
2019-01-12,58.06,57.64958,0.41042328,0.70689505
2019-01-13,58.760002,57.652588,1.1074142,1.8846396
2019-01-14,59.21,57.63774,1.572258,2.6553926
2019-01-15,59.5,57.66267,1.8373299,3.0879493
2019-01-16,58.39,57.68028,0.7097206,1.2154832
2019-01-17,59.49,57.673836,1.8161659,3.0528927
2019-01-18,59.600002,57.677692,1.9223099,3.2253518
2019-01-19,60.06,57.656937,2.4030647,4.0011067
2019-01-20,61.82,57.63128,4.1887207,6.775673
2019-01-21,60.61,57.612637,2.997364,4.945329
2019-01-22,60.72,57.571537,3.1484642,5.185218
2019-01-23,60.77,57.521908,3.2480927,5.344895
2019-01-24,60.5,57.529373,2.9706268,4.910127
2019-01-25,60.16,57.513966,2.6460342,4.398328
2019-01-26,59.46,57.3701,2.089901,3.5148017
2019-01-27,58.44,57.251484,1.1885147,2.033735
2019-01-28,60.45,57.24121,3.2087898,5.3081717
2019-01-29,59.36,57.26026,2.099739,3.537296
2019-01-30,59.56,57.277615,2.2823868,3.83208
2019-01-31,59.586178,57.252495,2.333683,3.9164836
2019-02-01,59.612354,57.365147,2.2472076,3.7697012
2019-02-02,59.63853,57.433624,2.2049065,3.6971173
2019-02-03,59.664707,57.42586,2.2388458,3.7523787
2019-02-04,59.690884,57.389626,2.301258,3.8552926
2019-02-05,59.71706,57.45198,2.2650795,3.793019
2019-02-06,59.743237,57.544315,2.1989212,3.6806197
2019-02-07,59.769413,57.595474,2.1739388,3.6372094
2019-02-08,59.79559,57.614147,2.1814423,3.648166
2019-02-09,59.821766,57.639107,2.1826591,3.6486037
2019-02-10,59.847942,57.652725,2.1952171,3.667991
2019-02-11,59.87412,57.655575,2.218544,3.7053473
2019-02-12,59.900295,57.67527,2.2250252,3.714548
2019-02-13,59.92647,57.687496,2.2389755,3.7362046
2019-02-14,59.95265,57.668804,2.283844,3.809413
2019-02-15,59.978825,57.64479,2.334034,3.8914301
2019-02-16,60.005,57.636795,2.368206,3.946681
2019-02-17,60.031178,57.655476,2.375702,3.9574466
2019-02-18,60.057354,57.670666,2.3866882,3.974015
2019-02-19,60.08353,57.67521,2.4083214,4.008289
2019-02-20,60.109707,57.643967,2.4657402,4.1020665
2019-02-21,60.135883,57.60582,2.5300636,4.2072444
2019-02-22,60.16206,57.66857,2.4934883,4.1446195
2019-02-23,60.188236,57.677105,2.5111313,4.1721296
2019-02-24,60.214413,57.660286,2.5541267,4.2417197
2019-02-25,60.24059,57.634678,2.6059113,4.3258395
2019-02-26,60.266766,57.618523,2.648243,4.3942013
2019-02-27,60.292942,57.594437,2.6985054,4.4756575
