date,actual_flux,predicted_flux,absolute_error,relative_error
2018-09-17,60.51,59.711956,0.7980423,1.3188603
2018-09-18,59.85,59.52608,0.3239174,0.5412154
2018-09-19,60.76,59.56073,1.1992683,1.9737794
2018-09-20,60.56,59.736614,0.82338715,1.3596221
2018-09-21,59.56,59.942574,0.38257217,0.6423307
2018-09-22,59.19,59.95795,0.76795197,1.2974354
2018-09-23,57.35,59.522526,2.1725273,3.7881906
2018-09-24,58.1,59.02234,0.9223404,1.5875051
2018-09-25,59.899998,58.947723,0.9522743,1.5897737
2018-09-26,59.829998,58.996563,0.83343506,1.3930054
2018-09-27,58.73,59.081253,0.3512535,0.5980819
2018-09-28,61.329998,59.207886,2.1221123,3.460154
2018-09-29,61.52,59.46475,2.055252,3.3407867
2018-09-30,60.38,59.507328,0.87267303,1.4453014
2018-10-01,60.98,59.664803,1.315197,2.1567678
2018-10-02,60.42,59.67313,0.74686813,1.2361274
2018-10-03,59.76,59.74127,0.018730164,0.031342313
2018-10-04,60.05,59.774216,0.27578354,0.45925653
2018-10-05,60.58,59.753258,0.8267441,1.3647145
2018-10-06,58.92,59.885128,0.96512985,1.6380343
2018-10-07,60.43,59.971,0.45899963,0.75955594
2018-10-08,60.383102,59.595013,0.78808975,1.3051496
2018-10-09,60.33621,59.409004,0.92720413,1.5367292
2018-10-10,60.28931,59.43614,0.8531723,1.4151303
2018-10-11,60.242413,59.475616,0.7667961,1.272851
2018-10-12,60.19552,59.65521,0.5403099,0.8975916
2018-10-13,60.14862,59.828056,0.32056427,0.5329537
2018-10-14,60.101723,59.48103,0.6206932,1.0327379
2018-10-15,60.05483,59.217743,0.8370857,1.3938692
2018-10-16,60.00793,59.229347,0.7785835,1.2974677
2018-10-17,59.961033,59.401817,0.55921555,0.9326316
2018-10-18,59.91414,59.614334,0.2998047,0.5003905
2018-10-19,59.86724,59.8278,0.039440155,0.06587936
2018-10-20,59.820347,59.955055,0.1347084,0.22518829
2018-10-21,59.77345,59.899006,0.12555695,0.21005471
2018-10-22,59.72655,59.679142,0.047409058,0.079376854
2018-10-23,59.679657,59.602436,0.07722092,0.12939236
2018-10-24,59.63276,59.653114,0.020355225,0.0341343
2018-10-25,59.58586,59.61403,0.028167725,0.047272496
2018-10-26,59.538967,59.601147,0.062179565,0.10443508
2018-10-27,59.49207,59.481354,0.010715485,0.018011618
2018-10-28,59.44517,59.521915,0.07674408,0.1291006
2018-10-29,59.398277,59.553654,0.15537643,0.26158407
2018-10-30,59.35138,59.550083,0.19870377,0.33479217
2018-10-31,59.30448,59.49583,0.19134903,0.32265526
2018-11-01,59.257587,59.412003,0.15441513,0.2605829
2018-11-02,59.21069,59.382374,0.17168427,0.28995484
2018-11-03,59.16379,59.376446,0.21265411,0.35943288
2018-11-04,59.116898,59.304497,0.18759918,0.31733596
2018-11-05,59.07,59.0699,9.918213e-05,0.0001679061
2018-11-06,59.98,58.834393,1.145607,1.9099817
