date,actual_flux,predicted_flux,absolute_error,relative_error
2018-09-17,60.51,59.31433,1.1956673,1.975983
2018-09-18,59.85,59.28444,0.5655594,0.9449614
2018-09-19,60.76,59.361713,1.3982849,2.3013246
2018-09-20,60.56,59.505302,1.054699,1.7415768
2018-09-21,59.56,59.659664,0.09966278,0.16733173
2018-09-22,59.19,59.711346,0.52134705,0.88080263
2018-09-23,57.35,59.403812,2.053814,3.5811927
2018-09-24,58.1,58.990673,0.8906746,1.5330027
2018-09-25,59.899998,58.92155,0.97844696,1.6334676
2018-09-26,59.829998,58.978523,0.85147476,1.4231569
2018-09-27,58.73,58.940685,0.21068573,0.35873616
2018-09-28,61.329998,58.93583,2.3941689,3.9037485
2018-09-29,61.52,59.1391,2.3809013,3.8701258
2018-09-30,60.38,59.16569,1.2143097,2.0111125
2018-10-01,60.98,59.162807,1.8171921,2.9799805
2018-10-02,60.42,59.193592,1.2264061,2.0298016
2018-10-03,59.76,59.27274,0.4872589,0.8153597
2018-10-04,60.05,59.348816,0.7011833,1.1676658
2018-10-05,60.58,59.306347,1.2736549,2.1024346
2018-10-06,58.92,59.435627,0.5156288,0.8751338
2018-10-07,60.43,59.502884,0.9271164,1.5341989
2018-10-08,60.383102,59.21886,1.1642418,1.928092
2018-10-09,60.33621,59.126747,1.2094612,2.0045362
2018-10-10,60.28931,59.118675,1.1706352,1.9416962
2018-10-11,60.242413,59.247868,0.994545,1.650905
2018-10-12,60.19552,59.43639,0.7591286,1.2611048
2018-10-13,60.14862,59.583996,0.5646248,0.93871605
2018-10-14,60.101723,59.308605,0.7931175,1.3196253
2018-10-15,60.05483,59.007217,1.0476112,1.7444247
2018-10-16,60.00793,59.01964,0.9882889,1.6469303
2018-10-17,59.961033,59.118652,0.8423805,1.40488
2018-10-18,59.91414,59.28013,0.6340103,1.0581981
2018-10-19,59.86724,59.490154,0.37708664,0.6298714
2018-10-20,59.820347,59.554943,0.26540375,0.443668
2018-10-21,59.77345,59.518524,0.25492477,0.42648497
2018-10-22,59.72655,59.380154,0.3463974,0.5799722
2018-10-23,59.679657,59.3446,0.3350563,0.5614247
2018-10-24,59.63276,59.313133,0.31962585,0.5359904
2018-10-25,59.58586,59.247684,0.33817673,0.5675453
2018-10-26,59.538967,59.190685,0.34828186,0.5849646
2018-10-27,59.49207,59.18731,0.30475998,0.5122699
2018-10-28,59.44517,59.247437,0.19773483,0.33263397
2018-10-29,59.398277,59.248035,0.15024185,0.25293973
2018-10-30,59.35138,59.20683,0.14455032,0.24355008
2018-10-31,59.30448,59.207314,0.09716797,0.16384591
2018-11-01,59.257587,59.121166,0.1364212,0.23021728
2018-11-02,59.21069,59.078735,0.1319542,0.22285536
2018-11-03,59.16379,59.052586,0.111206055,0.18796302
2018-11-04,59.116898,59.091793,0.025104523,0.0424659
2018-11-05,59.07,59.0097,0.06029892,0.10208045
2018-11-06,59.98,58.93471,1.0452881,1.7427276
2018-11-07,59.88,59.148285,0.73171616,1.2219708
2018-11-08,57.68,59.121613,1.4416122,2.499328
2018-11-09,59.35,59.031334,0.31866455,0.5369243
2018-11-10,58.75,58.93403,0.18402863,0.31324023
2018-11-11,58.09,58.61886,0.5288582,0.9104118
2018-11-12,58.12,58.48545,0.3654518,0.6287884
2018-11-13,56.33,58.453114,2.1231117,3.7690601
2018-11-14,57.41,58.40547,0.99547195,1.7339696
2018-11-15,58.22,58.484444,0.26444244,0.45421237
2018-11-16,58.559998,58.592545,0.032546997,0.05557889
2018-11-17,58.6,58.632736,0.032737732,0.05586644
2018-11-18,59.17,58.648056,0.52194214,0.88210607
2018-11-19,58.87,58.602238,0.26776123,0.4548348
2018-11-20,58.86,58.55293,0.3070717,0.5216984
2018-11-21,59.34,58.56372,0.77627945,1.3081892
2018-11-22,59.36,58.64876,0.71123886,1.1981786
2018-11-23,61.38,58.84739,2.5326118,4.1261187
2018-11-24,60.899998,59.169216,1.7307816,2.842006
2018-11-25,60.43,59.371124,1.058876,1.7522358
2018-11-26,59.670002,59.45026,0.21974182,0.3682618
2018-11-27,61.55,59.42112,2.1288795,3.4587808
2018-11-28,60.57,59.44699,1.1230087,1.8540677
2018-11-29,61.15,59.483124,1.6668777,2.7258835
2018-11-30,62.04,59.62004,2.41996,3.9006445
2018-12-01,60.36,59.766994,0.59300613,0.9824488
2018-12-02,61.05,59.647316,1.4026833,2.2975976
2018-12-03,60.12,59.537876,0.5821228,0.96826816
2018-12-04,58.95,59.39346,0.44345856,0.7522622
2018-12-05,59.07,59.143684,0.07368469,0.12474131
2018-12-06,58.5,58.965286,0.46528625,0.7953611
