date,actual_flux,predicted_flux,absolute_error,relative_error
2018-09-17,60.51,59.32318,1.1868172,1.9613571
2018-09-18,59.85,59.2081,0.6418991,1.0725131
2018-09-19,60.76,59.208557,1.5514412,2.5533924
2018-09-20,60.56,59.3189,1.2411003,2.049373
2018-09-21,59.56,59.41625,0.14375305,0.24135837
2018-09-22,59.19,59.36236,0.17235947,0.29119694
2018-09-23,57.35,59.11772,1.7677231,3.0823421
2018-09-24,58.1,58.77716,0.6771622,1.1655116
2018-09-25,59.899998,58.74863,1.1513672,1.9221491
2018-09-26,59.829998,58.847095,0.9829025,1.6428256
2018-09-27,58.73,58.95283,0.22283173,0.3794172
2018-09-28,61.329998,59.005306,2.3246918,3.7904646
2018-09-29,61.52,59.163334,2.3566666,3.8307323
2018-09-30,60.38,59.23834,1.1416626,1.8907958
2018-10-01,60.98,59.32728,1.6527214,2.710268
2018-10-02,60.42,59.342056,1.0779419,1.7840813
2018-10-03,59.76,59.374123,0.3858757,0.64570904
2018-10-04,60.05,59.36535,0.6846504,1.140134
2018-10-05,60.58,59.331036,1.2489662,2.0616808
2018-10-06,58.92,59.37887,0.45886993,0.7788017
2018-10-07,60.43,59.328285,1.1017151,1.8231262
2018-10-08,60.383102,59.154415,1.2286873,2.0348196
2018-10-09,60.33621,59.135784,1.2004242,1.9895586
2018-10-10,60.28931,59.177956,1.1113548,1.8433696
2018-10-11,60.242413,59.20114,1.0412712,1.7284685
2018-10-12,60.19552,59.2946,0.90091705,1.4966514
2018-10-13,60.14862,59.36698,0.7816391,1.299513
2018-10-14,60.101723,59.163784,0.9379387,1.5605854
2018-10-15,60.05483,59.01623,1.0385971,1.7294148
2018-10-16,60.00793,58.999348,1.0085831,1.6807497
2018-10-17,59.961033,59.071533,0.88949966,1.4834628
2018-10-18,59.91414,59.20726,0.70687866,1.1798195
2018-10-19,59.86724,59.296833,0.57040787,0.952788
2018-10-20,59.820347,59.28225,0.5380974,0.89952236
2018-10-21,59.77345,59.169952,0.60349655,1.0096399
2018-10-22,59.72655,59.028156,0.6983948,1.1693205
2018-10-23,59.679657,59.00388,0.67577744,1.1323414
2018-10-24,59.63276,59.020695,0.61206436,1.0263895
2018-10-25,59.58586,58.99227,0.5935898,0.99619234
2018-10-26,59.538967,58.98174,0.5572281,0.93590486
2018-10-27,59.49207,58.964504,0.527565,0.88678205
2018-10-28,59.44517,59.02184,0.4233322,0.71213895
2018-10-29,59.398277,59.035473,0.3628044,0.61079955
2018-10-30,59.35138,58.99686,0.3545189,0.5973221
2018-10-31,59.30448,58.927536,0.3769455,0.63561046
2018-11-01,59.257587,58.860466,0.39712143,0.6701613
2018-11-02,59.21069,58.840305,0.37038422,0.6255361
2018-11-03,59.16379,58.83929,0.32450104,0.5484791
2018-11-04,59.116898,58.825607,0.29129028,0.4927361
2018-11-05,59.07,58.74775,0.32225037,0.5455398
2018-11-06,59.98,58.740993,1.239006,2.0656986
2018-11-07,59.88,58.995197,0.8848038,1.4776282
2018-11-08,57.68,59.067833,1.3878326,2.40609
2018-11-09,59.35,58.9864,0.36359787,0.61263335
2018-11-10,58.75,58.92867,0.17866898,0.3041174
2018-11-11,58.09,58.539852,0.449852,0.7744052
2018-11-12,58.12,58.410316,0.29031754,0.499514
2018-11-13,56.33,58.28839,1.9583893,3.4766362
2018-11-14,57.41,58.22241,0.81240845,1.4150991
2018-11-15,58.22,58.284386,0.06438446,0.11058821
2018-11-16,58.559998,58.419643,0.14035416,0.23967582
2018-11-17,58.6,58.49915,0.10084915,0.17209753
2018-11-18,59.17,58.509617,0.6603813,1.1160746
2018-11-19,58.87,58.48872,0.381279,0.64766264
2018-11-20,58.86,58.48529,0.37471008,0.6366124
2018-11-21,59.34,58.479733,0.86026764,1.4497265
2018-11-22,59.36,58.53908,0.82091904,1.3829498
2018-11-23,61.38,58.75186,2.6281395,4.281752
2018-11-24,60.899998,59.009476,1.890522,3.1043055
2018-11-25,60.43,59.16902,1.2609787,2.0866766
