date YYYY-MM-DD,helium_1.71GV,helium_1.92GV,helium_2.15GV,helium_2.4GV,helium_2.67GV,helium_2.97GV,helium_3.29GV,helium_3.64GV,helium_4.02GV,helium_4.43GV,helium_4.88GV,helium_5.37GV,helium_5.9GV,helium_6.47GV,helium_7.09GV,helium_7.76GV,helium_8.48GV,helium_9.26GV
2011-05-20,87.7,80.71,73.6,66.13,57.54,48.02,42.18,35.56,29.66,24.74,20.67,16.86,13.9,11.38,9.522,7.723,6.262,5.108
2011-05-21,88.62,79.02,69.88,65.48,57.42,49.41,43.1,35.69,29.9,25.31,20.81,16.9,13.76,11.28,9.34,7.81,6.235,4.9
2011-05-22,84.39,77.44,72.09,64.04,56.59,46.93,41.37,35.19,29.51,24.97,20.47,16.97,14.06,11.39,9.097,7.358,6.053,4.9
2011-05-23,86.48,81.82,71.69,64.75,57.59,50.39,41.59,35.62,29.83,25.15,20.88,17.36,14.07,11.56,9.35,7.475,6.164,5.05
2011-05-24,87.54,84.84,71.92,66.41,57.79,49.01,41.39,35.66,29.81,24.73,20.65,16.92,13.99,11.5,9.034,7.558,6.159,4.925
2011-05-25,86.86,79.58,74.69,64.36,56.7,48.74,42.25,36.43,30.96,25.25,20.7,16.95,13.82,11.28,9.046,7.459,6.068,4.871
2011-05-26,89.92,81.97,72.5,63.68,57.07,49.48,42.39,36.63,30.33,25.23,20.76,16.43,13.72,11.17,9.118,7.457,5.925,4.739
2011-05-27,84.59,80.36,73.74,65.43,54.81,47.57,43.38,35.12,29.89,24.57,20.12,16.38,13.63,10.86,9.275,7.244,5.897,4.643
2011-05-28,86.99,82.49,71.73,63.12,55.16,48.86,41.31,35.48,29.15,24.49,20.15,16.83,13.54,11.12,8.935,7.221,5.911,4.796
2011-05-29,79.17,77.39,67.58,59.84,53.5,45.79,39.04,32.54,27.12,23.08,19.59,16.14,13.03,10.67,9.034,6.985,5.906,4.765
2011-05-30,81.34,75.58,69.13,62.44,54.89,47.47,39.65,34.23,28.65,23.8,19.77,16.51,13.38,11.01,9.098,7.428,5.811,4.859
2011-05-31,80.68,74.28,67.0,61.03,53.75,46.03,40.79,33.93,28.08,23.99,19.94,16.41,13.51,10.96,9.076,7.183,6.052,4.854
2011-06-01,82.47,74.91,69.63,61.51,53.83,46.68,40.6,34.88,29.46,24.7,20.01,16.51,13.75,11.08,9.125,7.175,6.142,4.783
