date YYYY-MM-DD,proton_1GV,proton_1.16GV,proton_1.33GV,proton_1.51GV,proton_1.71GV,proton_1.92GV,proton_2.15GV,proton_2.4GV,proton_2.67GV,proton_2.97GV,proton_3.29GV,proton_3.64GV,proton_4.02GV,proton_4.43GV,proton_4.88GV,proton_5.37GV,proton_5.9GV,proton_6.47GV,proton_7.09GV,proton_7.76GV,proton_8.48GV,proton_9.26GV
2011-05-20,999.8,974.9,914.4,840.4,739.4,630.2,548.9,462.8,392.7,327.8,274.9,224.9,184.4,150.0,121.8,98.97,79.75,64.81,51.83,41.23,33.92,26.69
2011-05-21,1012.0,1005.0,927.7,839.6,747.7,648.3,554.0,468.6,394.6,325.7,272.0,225.0,184.6,149.6,122.1,97.74,78.28,63.01,50.56,40.95,32.6,26.28
2011-05-22,991.9,973.6,888.3,818.4,725.6,626.5,546.9,457.4,387.9,320.3,266.0,221.5,181.5,148.6,121.0,98.81,79.0,64.89,51.6,41.73,33.23,26.75
2011-05-23,1009.0,987.2,905.4,833.2,731.1,652.2,551.5,470.1,394.0,327.3,272.1,225.6,184.5,149.4,121.7,99.34,79.74,63.99,51.85,41.41,33.01,27.01
2011-05-24,1046.0,999.7,924.2,835.2,748.2,650.1,549.2,470.8,390.8,328.1,268.8,223.5,185.0,151.0,122.2,98.79,79.81,64.34,51.86,41.75,33.06,26.72
2011-05-25,986.2,986.1,917.2,832.1,734.4,639.0,546.7,466.6,389.0,327.9,270.1,223.9,184.6,150.4,122.0,99.47,79.47,64.07,51.8,41.54,33.69,26.82
2011-05-26,1012.0,991.2,928.9,846.9,747.7,635.6,557.1,464.2,390.5,325.6,269.8,225.3,186.1,151.1,123.2,98.77,80.32,64.01,51.72,41.35,33.52,26.97
2011-05-27,1029.0,1012.0,935.2,836.4,742.1,642.2,547.4,460.2,387.5,324.4,266.4,224.5,185.7,149.1,122.2,97.79,79.21,64.69,50.88,41.43,33.11,26.66
2011-05-28,1001.0,981.4,915.6,812.4,725.6,633.1,540.8,454.3,380.6,322.2,266.3,220.2,181.9,148.4,121.3,96.92,79.18,63.65,51.33,41.36,33.36,26.79
2011-05-29,963.0,935.1,869.3,788.3,707.7,615.6,528.4,445.6,371.4,313.2,258.5,211.0,176.4,145.2,118.0,96.77,78.38,62.72,51.08,41.14,32.97,26.74
2011-05-30,945.3,923.4,856.3,789.5,701.5,615.3,524.0,446.7,374.2,315.8,263.5,218.4,180.1,148.2,120.8,98.58,79.28,63.56,51.6,41.57,33.49,27.07
2011-05-31,958.0,922.0,855.5,782.2,690.0,612.7,526.4,449.5,375.8,315.8,262.0,218.9,178.9,148.3,121.0,97.07,78.75,63.34,51.08,41.08,33.15,26.77
2011-06-01,946.5,915.6,864.8,798.2,700.2,615.4,526.6,451.9,378.9,318.5,265.4,218.3,181.3,147.2,120.0,97.6,78.98,63.3,51.32,41.69,33.1,27.06
