date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,helium_flux m^-2sr^-1s^-1GV^-1,SEPorNODATA
2011-05-20,1.71,1.92,87.7,OBSERVED
2011-05-20,1.92,2.15,80.71,OBSERVED
2011-05-20,2.15,2.4,73.6,OBSERVED
2011-05-20,2.4,2.67,66.13,OBSERVED
2011-05-20,2.67,2.97,57.54,OBSERVED
2011-05-20,2.97,3.29,48.02,OBSERVED
2011-05-20,3.29,3.64,42.18,OBSERVED
2011-05-20,3.64,4.02,35.56,OBSERVED
2011-05-20,4.02,4.43,29.66,OBSERVED
2011-05-20,4.43,4.88,24.74,OBSERVED
2011-05-20,4.88,5.37,20.67,OBSERVED
2011-05-20,5.37,5.9,16.86,OBSERVED
2011-05-20,5.9,6.47,13.9,OBSERVED
2011-05-20,6.47,7.09,11.38,OBSERVED
2011-05-20,7.09,7.76,9.522,OBSERVED
2011-05-20,7.76,8.48,7.723,OBSERVED
2011-05-20,8.48,9.26,6.262,OBSERVED
2011-05-20,9.26,10.1,5.108,OBSERVED
2011-05-20,10.1,11.0,3.858,OBSERVED
2011-05-20,11.0,13.0,3.009,OBSERVED
2011-05-20,13.0,16.6,1.8,OBSERVED
2011-05-20,16.6,22.8,0.8766,OBSERVED
2011-05-20,22.8,33.5,0.3408,OBSERVED
2011-05-20,33.5,48.5,0.1268,OBSERVED
2011-05-20,48.5,69.7,0.04723,OBSERVED
2011-05-20,69.7,100.0,0.01619,OBSERVED
2011-05-21,1.71,1.92,88.62,OBSERVED
2011-05-21,1.92,2.15,79.02,OBSERVED
2011-05-21,2.15,2.4,69.88,OBSERVED
2011-05-21,2.4,2.67,65.48,OBSERVED
2011-05-21,2.67,2.97,57.42,OBSERVED
2011-05-21,2.97,3.29,49.41,OBSERVED
2011-05-21,3.29,3.64,43.1,OBSERVED
2011-05-21,3.64,4.02,35.69,OBSERVED
2011-05-21,4.02,4.43,29.9,OBSERVED
2011-05-21,4.43,4.88,25.31,OBSERVED
2011-05-21,4.88,5.37,20.81,OBSERVED
2011-05-21,5.37,5.9,16.9,OBSERVED
2011-05-21,5.9,6.47,13.76,OBSERVED
2011-05-21,6.47,7.09,11.28,OBSERVED
2011-05-21,7.09,7.76,9.34,OBSERVED
2011-05-21,7.76,8.48,7.81,OBSERVED
2011-05-21,8.48,9.26,6.235,OBSERVED
2011-05-21,9.26,10.1,4.9,OBSERVED
2011-05-21,10.1,11.0,4.126,OBSERVED
2011-05-21,11.0,13.0,3.035,OBSERVED
2011-05-21,13.0,16.6,1.795,OBSERVED
2011-05-21,16.6,22.8,0.8893,OBSERVED
2011-05-21,22.8,33.5,0.3479,OBSERVED
2011-05-21,33.5,48.5,0.1253,OBSERVED
2011-05-21,48.5,69.7,0.04596,OBSERVED
2011-05-21,69.7,100.0,0.01719,OBSERVED
2011-05-22,1.71,1.92,84.39,OBSERVED
2011-05-22,1.92,2.15,77.44,OBSERVED
2011-05-22,2.15,2.4,72.09,OBSERVED
2011-05-22,2.4,2.67,64.04,OBSERVED
2011-05-22,2.67,2.97,56.59,OBSERVED
2011-05-22,2.97,3.29,46.93,OBSERVED
2011-05-22,3.29,3.64,41.37,OBSERVED
2011-05-22,3.64,4.02,35.19,OBSERVED
2011-05-22,4.02,4.43,29.51,OBSERVED
2011-05-22,4.43,4.88,24.97,OBSERVED
2011-05-22,4.88,5.37,20.47,OBSERVED
2011-05-22,5.37,5.9,16.97,OBSERVED
2011-05-22,5.9,6.47,14.06,OBSERVED
