date,actual_flux,predicted_flux,absolute_error,relative_error
2017-10-07,52.7,52.01261,0.6873894,1.3043442
2017-10-08,54.02,52.21869,1.8013115,3.334527
2017-10-09,51.85,52.77182,0.9218216,1.7778624
2017-10-10,53.91,53.497776,0.41222382,0.7646519
2017-10-11,55.079998,54.257313,0.82268524,1.4936188
2017-10-12,52.48,53.823578,1.3435783,2.5601723
2017-10-13,51.56,54.000862,2.4408607,4.7340198
2017-10-14,53.64,53.808704,0.16870499,0.31451342
2017-10-15,52.77,53.895557,1.125557,2.1329484
2017-10-16,52.97,54.229168,1.2591667,2.3771317
2017-10-17,54.4,54.618,0.2179985,0.40073255
2017-10-18,54.29,54.973305,0.68330383,1.2586182
2017-10-19,55.52,55.18728,0.3327217,0.5992826
2017-10-20,55.59,54.780743,0.8092575,1.455761
2017-10-21,54.55,54.965416,0.41541672,0.76153386
2017-10-22,54.01,54.762318,0.75231934,1.3929261
2017-10-23,53.3,54.929306,1.6293068,3.056861
2017-10-24,52.91,55.30579,2.39579,4.528048
2017-10-25,52.87,55.145187,2.2751884,4.303364
2017-10-26,52.67,54.87568,2.2056808,4.1877365
2017-10-27,54.36,55.013058,0.6530571,1.2013559
2017-10-28,54.45,55.26058,0.8105774,1.4886637
2017-10-29,53.92,55.726948,1.8069496,3.351168
2017-10-30,54.68,56.231785,1.5517845,2.837938
2017-10-31,54.11,56.8466,2.736599,5.0574737
2017-11-01,55.8,57.392193,1.5921936,2.8533936
2017-11-02,56.03,57.57968,1.5496826,2.7658088
2017-11-03,54.93,57.00659,2.0765915,3.7804325
2017-11-04,54.88,57.103626,2.2236252,4.051795
2017-11-05,56.62,57.4198,0.7998009,1.4125767
2017-11-06,55.329998,57.85193,2.5219307,4.557981
2017-11-07,56.21,58.098602,1.8886032,3.359906
2017-11-08,55.87,56.907383,1.037384,1.856782
2017-11-09,55.63,56.925133,1.2951317,2.3281174
2017-11-10,54.97,57.401543,2.4315414,4.423397
2017-11-11,55.21,57.54052,2.3305206,4.2211933
2017-11-12,55.28,57.922977,2.6429787,4.781076
2017-11-13,55.7,58.141743,2.441742,4.3837376
2017-11-14,54.29,58.31466,4.024658,7.4132586
2017-11-15,54.94,57.795063,2.8550644,5.1966953
2017-11-16,53.989998,57.10846,3.1184616,5.775999
2017-11-17,53.68,56.983574,3.3035736,6.154198
2017-11-18,55.96,57.14925,1.189251,2.1251805
2017-11-19,58.04,57.372593,0.667408,1.1499104
2017-11-20,57.74,57.867264,0.12726212,0.22040544
2017-11-21,57.4,57.97603,0.5760269,1.0035312
2017-11-22,56.72,57.460712,0.7407112,1.3059083
2017-11-23,59.37,57.91858,1.4514198,2.4447024
2017-11-24,58.07,58.08757,0.017570496,0.03025744
2017-11-25,57.96,57.725853,0.23414612,0.40397882
2017-11-26,59.32,58.03555,1.2844505,2.1652908
2017-11-27,58.8,58.142452,0.657547,1.1182772
2017-11-28,56.9,57.725998,0.8259964,1.4516633
2017-11-29,56.93,57.600796,0.67079544,1.1782811
2017-11-30,55.89,57.310246,1.4202461,2.5411453
2017-12-01,56.13,57.23785,1.1078491,1.9737201
2017-12-02,56.11,57.52574,1.415741,2.5231528
2017-12-03,55.88,57.790173,1.9101715,3.4183455
2017-12-04,57.47,58.06845,0.5984497,1.0413253
2017-12-05,55.38,57.80086,2.4208603,4.3713617
2017-12-06,56.35,57.11187,0.76187134,1.3520343
2017-12-07,55.16,57.563572,2.403572,4.357455
2017-12-08,55.0,57.85124,2.8512383,5.1840696
2017-12-09,55.94,58.228123,2.288124,4.0903187
2017-12-10,56.74,58.38336,1.6433601,2.8962991
2017-12-11,55.83,58.556202,2.7262,4.883038
2017-12-12,58.21,57.995922,0.214077,0.3677667
2017-12-13,57.61,57.679146,0.0691452,0.120022915
